BASLIK;MARKA;MODEL;TEMEL OZELLIKLER - Seri;TEMEL OZELLIKLER - Donanim Paketi;TEMEL OZELLIKLER - Model Yillari;TEMEL OZELLIKLER - Ait Oldugu Ulke;TEMEL OZELLIKLER - Yakit Turu;TEMEL OZELLIKLER - Arac Turu;TEMEL OZELLIKLER - Govde Tipi;TEMEL OZELLIKLER - Segment;TEMEL OZELLIKLER - Motor Tipi;TEMEL OZELLIKLER - Yakit Tipi;MOTOR (Icten Yanmali) - Besleme Tipi;MOTOR (Icten Yanmali) - Silindir Adedi;MOTOR (Icten Yanmali) - Silindir Hacmi;MOTOR (Icten Yanmali) - Yakit Puskurtme;MOTOR (Elektrikli) - Batarya Kapasitesi;MOTOR (Elektrikli) - Batarya Tipi;MOTOR (Elektrikli) - Menzil (WLTP - Birlesik);MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici);MOTOR (Elektrikli) - Motor Gucu;MOTOR (Elektrikli) - Ortalama Tuketim (Elk.);MOTOR (Elektrikli) - Sarj Suresi;EKONOMI - MTV;PERFORMANS - Azami Hiz;PERFORMANS - Azami Tork;PERFORMANS - Beygir Gucu;PERFORMANS - 0 - 100 Km Hizlanma;AGIRLIK & OLCULER - Agirlik;AGIRLIK & OLCULER - Genislik;AGIRLIK & OLCULER - Uzunluk;AGIRLIK & OLCULER - Yukseklik;BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk);BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk);DIS GOVDE - Kapi Sayisi;LASTIK & JANT - Lastik Ebatlari;LASTIK & JANT - Taban Genisligi;LASTIK & JANT - Kesit Orani;LASTIK & JANT - Jant Capi;SANZIMAN & CEKIS SISTEMI - Cekis;SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi;SANZIMAN & CEKIS SISTEMI - Sanziman Turu;SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi;SANZIMAN & CEKIS SISTEMI - Sanziman Modeli;YAKIT TUKETIMI & EMISYON - Emisyon Standardi;YAKIT TUKETIMI & EMISYON - Ortalama Emisyon;YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km);YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi (lt);YOLCU EMNIYETI - Hava Yastigi Adedi;YOLCU EMNIYETI - NCAP/ANCAP Adedi;GOSTERGELER & SENSORLER - Far Sensoru;GOSTERGELER & SENSORLER - Lastik Basinc Sensoru;GOSTERGELER & SENSORLER - Park Sensoru & Yardimi;GOSTERGELER & SENSORLER - Yagmur Sensoru;ISITMA & SOGUTMA - Klima;KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi;KOLTUKLAR & IC DOSEME - Koltuk Sayisi;KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari;KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari;LAMBALAR & AYDINLATMA - Far Tipi;LAMBALAR & AYDINLATMA - Sis Farlari
Land Rover Discovery 3.0 SDV6 256 PS Otomatik HSE (4x4);Rover;Discovery;Discovery;HSE;2015, 2016;Ingiltere > Amerika > Hindistan;Fosil Yakıt;SUV;SUV;Premium D;Icten Yanmali (Standart);Dizel;Turbo;6;2993;Common Rail Direkt Enjeksiyon;;;;;;;;26654;180;600;256;9,3;2570;2053;4829;1891;1260;2588;5;255/55 R19;255;55%;19;4x4 Cekisli;Var;Otomatik;8 ileri;ZF8;EURO 5;213;8,41;7,6;8,7;82,3;8;4;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik; LED; Var
Land Rover Discovery 2.0 TD4 180 BG Otomatik HSE (4x4);Rover;Discovery;Discovery;HSE;2017, 2018;Ingiltere > Amerika > Hindistan;Fosil Yakıt;SUV;SUV;D;Icten Yanmali (Standart);Dizel;Turbo;4;1999;Common Rail Direkt Enjeksiyon;;;;;;;;10613;189;430;180;10,5;2180;2073;4970;1888;1137;2406;5;255/55 R20;255;55%;20;4x4 Cekisli;Var;Otomatik;8 ileri;ZF8;EURO 6;163;6,62;5,6;7,2;77;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik; LED; Var
Land Rover Discovery Sport 2.0 Si4 240 PS Otomatik HSE (4x4);Rover;Discovery Sport;Discovery Sport;HSE;2015;Ingiltere > Amerika > Hindistan;Fosil Yakıt;SUV;SUV;Premium C;Icten Yanmali (Standart);Benzin;Turbo;4;1999;Cok Noktadan Enjeksiyon;;;;;;;;10613;199;340;240;8,2;1744;2069;4599;1724;981;1698;5;235/60 R18;235;60%;18;4x4 Cekisli;Var;Otomatik;9 ileri;ZF9;EURO 5;191;8,87;6,5;10,6;70;7;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik; LED; Var
Land Rover Discovery Sport 2.0 Si4 240 PS Otomatik HSE Luxury (4x4);Rover;Discovery Sport;Discovery Sport;HSE Luxury;2015;Ingiltere > Amerika > Hindistan;Fosil Yakıt;SUV;SUV;Premium C;Icten Yanmali (Standart);Benzin;Turbo;4;1999;Cok Noktadan Enjeksiyon;;;;;;;;10613;199;340;240;8,2;1744;2069;4599;1724;981;1698;5;235/55 R19;235;55%;19;4x4 Cekisli;Var;Otomatik;9 ileri;ZF9;EURO 5;191;8,87;6,5;10,6;70;7;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik; LED; Var
Land Rover Discovery Sport 2.0 Td4 180 PS HSE Luxury (4x4);Rover;Discovery Sport;Discovery Sport;HSE Luxury;2015, 2016, 2017, 2018;Ingiltere > Amerika > Hindistan;Fosil Yakıt;SUV;SUV;Premium C;Icten Yanmali (Standart);Dizel;Turbo;4;1998;Common Rail Direkt Enjeksiyon;;;;;;;;10613;188;430;180;8,9;1744;2069;4599;1724;981;1698;5;235/55 R19;235;55%;19;4x4 Cekisli;Var;Otomatik;9 ileri;ZF9;EURO 5;139;5,69;4,7;6,3;54;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Elektronik;Elektronik; LED; Var
Land Rover Discovery Sport 2.0 Si4 240 PS HSE (4x4);Rover;Discovery Sport;Discovery Sport;HSE;2016, 2017;Ingiltere > Amerika > Hindistan;Fosil Yakıt;SUV;SUV;Premium C;Icten Yanmali (Standart);Benzin;Turbo;4;1999;Cok Noktadan Enjeksiyon;;;;;;;;10613;199;340;240;8,2;1744;2069;4599;1724;981;1698;5;235/60 R18;235;60%;18;4x4 Cekisli;Var;Otomatik;9 ileri;ZF9;EURO 6;191;8,87;6,5;10,6;70;7;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik; LED; Var
Land Rover Discovery Sport 2.0 Si4 240 PS HSE Luxury (4x4);Rover;Discovery Sport;Discovery Sport;HSE Luxury;2016, 2017;Ingiltere > Amerika > Hindistan;Fosil Yakıt;SUV;SUV;Premium C;Icten Yanmali (Standart);Benzin;Turbo;4;1999;Cok Noktadan Enjeksiyon;;;;;;;;10613;199;340;240;8,2;1744;2069;4599;1724;981;1698;5;235/55 R19;235;55%;19;4x4 Cekisli;Var;Otomatik;9 ileri;ZF9;EURO 6;191;8,87;6,5;10,6;70;7;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik; LED; Var
BYD Dolphin 204 HP Comfort;BYD;Dolphin;Dolphin;Comfort;2025;Cin;Elektrik;Binek;Hatchback;B;BEV (Elektrikli);Elektrik;Elektrik;Elektrik;Elektrik;Elektrik;60,4;BYD Blade Batarya (LFP);427;559;150;15,9;AC (11 kW) (%0 - %100) 6sa,12dk, | DC (110 kW) (%10 - %80) 36dk, | DC (110 kW) (%30 - %80) 26dk,;9673;160;310;204;7;1658;1770;4290;1570;364;1329;5;205/50 R17;205;50%;17;Onden Cekisli;Var;Reduktor Sanziman;Reduktor Sanziman;Reduktor Sanziman;Emisyon Yok;Emisyon Yok;;;;;7;5;Var;Var;Var;Var;Otomatik Klima; Kumas;5;Elektronik;Elektronik;LED;Var
BYD Dolphin 204 HP Design;BYD;Dolphin;Dolphin;Design;2025;Cin;Elektrik;Binek;Hatchback;B;BEV (Elektrikli);Elektrik;Elektrik;Elektrik;Elektrik;Elektrik;60,4;BYD Blade Batarya (LFP);427;559;150;15,9;AC (11 kW) (%0 - %100) 6sa,12dk, | DC (110 kW) (%10 - %80) 36dk, | DC (110 kW) (%30 - %80) 26dk,;9673;160;310;204;7;1658;1770;4290;1570;364;1329;5;205/50 R17;205;50%;17;Onden Cekisli;Var;Reduktor Sanziman;Reduktor Sanziman;Reduktor Sanziman;Emisyon Yok;Emisyon Yok;;;;;7;5;Var;Var;Var;Var;Otomatik Klima; Kumas;5;Elektronik;Elektronik;LED;Var
Mercedes E 180 156 PS Elite;Mercedes-Benz;E 180;E;Elite;2014;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Turbo;4;1595;Cok Noktadan Enjeksiyon;;;;;;;;3661;220;250;156;9,6;1645;2071;4879;1474;540;Koltuklar Katlanmıyor;5;225/55 R16;225;55%;16;Arkadan Itisli;Var;Otomatik;7 ileri;7G-Tronic;EURO 6;143;6,68;5,1;7,8;67;9;5;Var;Var;Yok;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik; LED; Var
Mercedes E 180 1.6 156 BG 7G-Tronic EditionE;Mercedes-Benz;E 180;E;EditionE;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Turbo;4;1595;Cok Noktadan Enjeksiyon;;;;;;;;3661;220;250;156;9,6;1645;1854;4879;1474;540;Koltuklar Katlanmıyor;5;245/45 R17;245;45%;17;Arkadan Itisli;Var;Otomatik;7 ileri;7G-Tronic;EURO 5;153;7,15;5,5;8,3;67;9;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik; LED; Var
Mercedes E 180 1.6 156 BG 7G-Tronic Style;Mercedes-Benz;E 180;E;Style;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Turbo;4;1595;Cok Noktadan Enjeksiyon;;;;;;;;3661;220;250;156;9,6;1645;1854;4879;1474;540;Koltuklar Katlanmıyor;5;245/45 R17;245;45%;17;Arkadan Itisli;Var;Otomatik;7 ileri;7G-Tronic;EURO 5;153;7,15;5,5;8,3;67;9;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik; LED; Var
Mercedes E 180 1.6 156 PS 9G-Tronic Avantgarde;Mercedes-Benz;E 180;E;Avantgarde;2017, 2018;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Turbo;4;1595;Cok Noktadan Enjeksiyon;;;;;;;;3661;228;250;156;8,9;1575;1852;4923;1468;540;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Arkadan Itisli;Var;Otomatik;9 ileri;9G-Tronic;EURO 6;146;6,99;5,5;8;57;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Elektronik;Elektronik; LED; Var
Mercedes E 200 2.0 184 PS 9G-Tronic AMG;Mercedes-Benz;E 200;E;AMG;2016;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Turbo;4;1991;Direkt Enjeksiyon;;;;;;;;10613;240;300;184;7,7;1605;1852;4923;1468;540;Koltuklar Katlanmıyor;5;245/35 R19;245;35%;19;Arkadan Itisli;Var;Otomatik;9 ileri;9G-Tronic;EURO 6;142;6,89;5,3;8;66;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Elektronik;Elektronik; LED; Var
Mercedes E 200 2.0 184 PS 9G-Tronic Avantgarde;Mercedes-Benz;E 200;E;Avantgarde;2016;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Turbo;4;1991;Direkt Enjeksiyon;;;;;;;;10613;240;300;184;7,7;1605;1852;4923;1468;540;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Arkadan Itisli;Var;Otomatik;9 ileri;9G-Tronic;EURO 6;142;6,89;5,3;8;66;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Elektronik;Elektronik; LED; Var
Mercedes E 200 2.0 184 PS 9G-Tronic Exclusive;Mercedes-Benz;E 200;E;Exclusive;2016;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Turbo;4;1991;Direkt Enjeksiyon;;;;;;;;10613;240;300;184;7,7;1605;1852;4923;1468;540;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Arkadan Itisli;Var;Otomatik;9 ileri;9G-Tronic;EURO 6;142;6,89;5,3;8;66;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Elektronik;Elektronik; LED; Var
Mercedes E 220d 2.0 194 PS 9G-Tronic AMG;Mercedes-Benz;E 220D;E;AMG;2016;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Dizel;Turbo;4;1950;Common Rail Direkt Enjeksiyon;;;;;;;;10613;240;400;194;7,3;1680;1852;4923;1468;540;Koltuklar Katlanmıyor;5;245/35 R19;245;35%;19;Arkadan Itisli;Var;Otomatik;9 ileri;9G-Tronic;EURO 6;112;4,54;4,1;4,7;66;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Elektronik;Elektronik; LED; Var
Mercedes E 220d 2.0 194 PS 9G-Tronic Avantgarde;Mercedes-Benz;E 220D;E;Avantgarde;2016;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Dizel;Turbo;4;1950;Common Rail Direkt Enjeksiyon;;;;;;;;10613;240;400;194;7,3;1680;1852;4923;1468;540;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Arkadan Itisli;Var;Otomatik;9 ileri;9G-Tronic;EURO 6;112;4,54;4,1;4,7;66;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Elektronik;Elektronik; LED; Var
Mercedes E 220d 2.0 194 PS 9G-Tronic Exclusive;Mercedes-Benz;E 220D;E;Exclusive;2016;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Dizel;Turbo;4;1950;Common Rail Direkt Enjeksiyon;;;;;;;;10613;240;400;194;7,3;1680;1852;4923;1468;540;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Arkadan Itisli;Var;Otomatik;9 ileri;9G-Tronic;EURO 6;112;4,54;4,1;4,7;66;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Elektronik;Elektronik; LED; Var
Mercedes E 220d 2.0 194 PS 4MATIC 9G-Tronic Avantgarde (4x4);Mercedes-Benz;E 220D;E;Avantgarde;2017, 2018;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Dizel;Turbo;4;1950;Common Rail Direkt Enjeksiyon;;;;;;;;10613;239;400;194;7,5;1735;1852;4923;1468;540;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;4x4 Cekisli;Var;Otomatik;9 ileri;9G-Tronic;EURO 6;129;5,06;4,5;5,3;57;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Elektronik;Elektronik; LED; Var
Mercedes E 250 211 PS Elite;Mercedes-Benz;E 250;E;Elite;2014;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Turbo;4;1991;Cok Noktadan Enjeksiyon;;;;;;;;10613;243;350;211;7,4;1680;2071;4879;1474;540;Koltuklar Katlanmıyor;5;225/55 R16;225;55%;16;Arkadan Itisli;Var;Otomatik;7 ileri;7G-Tronic;EURO 6;135;6,38;4,8;7,5;67;9;5;Var;Var;Yok;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik; LED; Var
Mercedes E 250 CDI 204 BG 4MATIC Elite (4x4);Mercedes-Benz;E 250;E;Elite;2014;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Dizel;Turbo;4;2143;Common Rail Direkt Enjeksiyon;;;;;;;;15954;238;500;204;7,9;1845;2071;4879;1474;540;Koltuklar Katlanmıyor;5;225/55 R16;225;55%;16;4x4 Cekisli;Var;Otomatik;7 ileri;7G-Tronic;EURO 6;149;6;5;6,6;67;9;5;Var;Var;Yok;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik; LED; Var
Mercedes E 250 2.0 211 BG 7G-Tronic EditionE;Mercedes-Benz;E 250;E;EditionE;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Turbo;4;1991;Cok Noktadan Enjeksiyon;;;;;;;;10613;243;350;211;7,4;1680;1854;4879;1474;540;Koltuklar Katlanmıyor;5;245/45 R17;245;45%;17;Arkadan Itisli;Var;Otomatik;7 ileri;7G-Tronic;EURO 5;142;6,63;5,1;7,7;67;9;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik; LED; Var
Mercedes E 250 BlueTEC 2.2 204 BG 4MATIC 7G-Tronic EditionE (4x4);Mercedes-Benz;E 250 Bluetec;E;EditionE;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Dizel;Turbo;4;2143;Cok Noktadan Enjeksiyon;;;;;;;;15954;238;500;204;7,8;1875;1854;4879;1474;540;Koltuklar Katlanmıyor;5;245/45 R17;245;45%;17;4x4 Cekisli;Var;Otomatik;7 ileri;7G-Tronic;EURO 5;139;5,69;4,6;6,4;67;9;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik; LED; Var
Mercedes E 300 2.0 245 PS 9G-Tronic Avantgarde;Mercedes-Benz;E 300;E;Avantgarde;2017, 2018;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Turbo;4;1991;Cok Noktadan Enjeksiyon;;;;;;;;10613;250;370;245;6,2;1655;1852;4923;1468;540;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Arkadan Itisli;Var;Otomatik;9 ileri;9G-Tronic;EURO 6;156;7,56;5,8;8,8;57;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Elektronik;Elektronik; LED; Var
Mercedes E 350 252 BG 4MATIC Elite (4x4);Mercedes-Benz;E 350;E;Elite;2014;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Dizel;Turbo;6;2987;Common Rail Direkt Enjeksiyon;;;;;;;;26654;245;620;252;6,7;1955;2071;4879;1474;540;Koltuklar Katlanmıyor;5;245/45 R17;245;45%;17;4x4 Cekisli;Var;Otomatik;7 ileri;7G-Tronic;EURO 6;160;6,42;5,1;7,3;67;9;5;Var;Var;Yok;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik; LED; Var
Mercedes E 350 306 BG 4MATIC Elite (4x4);Mercedes-Benz;E 350;E;Elite;2014;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Turbo;6;3498;Cok Noktadan Enjeksiyon;;;;;;;;40486;250;370;306;6,6;1825;2071;4879;1474;540;Koltuklar Katlanmıyor;5;225/55 R16;225;55%;16;4x4 Cekisli;Var;Otomatik;7 ileri;7G-Tronic;EURO 6;174;8,2;5,9;9,9;67;9;5;Var;Var;Yok;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik; LED; Var
Mercedes E 350 BlueTEC 3.0 258 BG 4MATIC 7G-Tronic EditionE (4x4);Mercedes-Benz;E 350 Bluetec;E;EditionE;2015, 2016;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Dizel;Turbo;6;2987;Common Rail Direkt Enjeksiyon;;;;;;;;26654;250;620;258;6,6;1915;1854;4879;1474;540;Koltuklar Katlanmıyor;5;245/45 R17;245;45%;17;4x4 Cekisli;Var;Otomatik;7 ileri;7G-Tronic;EURO 5;156;6,46;5,5;7;67;9;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik; LED; Var
Mercedes E 350d 3.0 258 PS 9G-Tronic Avantgarde;Mercedes-Benz;E 350D;E;Avantgarde;2016;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Dizel;Turbo;6;2987;Common Rail Direkt Enjeksiyon;;;;;;;;26654;250;620;258;5,9;1800;1852;4923;1468;540;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;Arkadan Itisli;Var;Otomatik;9 ileri;9G-Tronic;EURO 6;133;5,54;4,4;6,3;66;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Elektronik;Elektronik; LED; Var
Mercedes E 350d 3.0 258 PS 4MATIC 9G-Tronic Avantgarde (4x4);Mercedes-Benz;E 350D;E;Avantgarde;2017, 2018;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Dizel;Turbo;6;2987;Common Rail Direkt Enjeksiyon;;;;;;;;26654;250;620;258;5,9;1800;1852;4923;1468;540;Koltuklar Katlanmıyor;5;225/45 R17;225;45%;17;4x4 Cekisli;Var;Otomatik;9 ileri;9G-Tronic;EURO 6;133;5,54;4,4;6,3;57;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Elektronik;Elektronik; LED; Var
Mercedes E 400 3.5 333 BG 4MATIC 7G-Tronic EditionE (4x4);Mercedes-Benz;E 400;E;EditionE;2015;Almanya;Fosil Yakıt;Binek;Sedan;E;Icten Yanmali (Standart);Benzin;Turbo;6;3498;Cok Noktadan Enjeksiyon;;;;;;;;40486;250;480;333;5,3;1845;1854;4879;1474;540;Koltuklar Katlanmıyor;5;245/45 R17;245;45%;17;4x4 Cekisli;Var;Otomatik;7 ileri;7G-Tronic;EURO 5;178;8,45;6,2;10,1;67;9;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik; LED; Var
Peugeot E-2008 156 HP Active Prime;Peugeot;E-2008;E-2008;Active Prime;2024;Fransa;Elektrik;SUV;SUV;B;BEV (Elektrikli);Elektrik;Elektrik;Elektrik;Elektrik;Elektrik;54;Lityum Iyon;406;406;115;15,3;AC (7,4 kW) (%0 - %100) 7,4sa, | AC 7,4 kW (%20 - %80) 4,4sa, | DC (%20 - %80) 30dk,;6446;150;260;156;9,1;1550;1815;4300;1550;434;1015;5;215/60 R17;215;60%;17;Onden Cekisli;Var;Reduktor Sanziman;Reduktor Sanziman;Reduktor Sanziman;Emisyon Yok;Emisyon Yok;;;;;6;4;Var;Var;Var;Var;Otomatik Klima;Kumaş;5;Elektronik;Elektronik;LED;Var
Peugeot E-2008 156 HP Allure;Peugeot;E-2008;E-2008;Allure;2024;Fransa;Elektrik;SUV;SUV;B;BEV (Elektrikli);Elektrik;Elektrik;Elektrik;Elektrik;Elektrik;54;Lityum Iyon;406;406;115;15,3;AC (7,4 kW) (%0 - %100) 7,4sa, | AC 7,4 kW (%20 - %80) 4,4sa, | DC (%20 - %80) 30dk,;6446;150;260;156;9,1;1550;1815;4300;1550;434;1015;5;215/60 R17;215;60%;17;Onden Cekisli;Var;Reduktor Sanziman;Reduktor Sanziman;Reduktor Sanziman;Emisyon Yok;Emisyon Yok;;;;;6;4;Var;Var;Var;Var;Otomatik Klima;Kumaş & Deri;5;Elektronik;Elektronik;LED;Var
Peugeot E-2008 156 HP GT;Peugeot;E-2008;E-2008;GT;2024;Fransa;Elektrik;SUV;SUV;B;BEV (Elektrikli);Elektrik;Elektrik;Elektrik;Elektrik;Elektrik;54;Lityum Iyon;406;406;115;15,3;AC (7,4 kW) (%0 - %100) 7,4sa, | AC 7,4 kW (%20 - %80) 4,4sa, | DC (%20 - %80) 30dk,;6446;150;260;156;9,1;1550;1815;4300;1550;434;1015;5;215/55 R18;215;55%;18;Onden Cekisli;Var;Reduktor Sanziman;Reduktor Sanziman;Reduktor Sanziman;Emisyon Yok;Emisyon Yok;;;;;6;4;Var;Var;Var;Var;Otomatik Klima;Alcantara & Deri;5;Elektronik;Elektronik;LED;Var
Peugeot E-3008 GT 210 HP;Peugeot;E-3008;3008;GT;2025;Fransa;Elektrik;SUV;SUV;C;BEV (Elektrikli);Elektrik;Elektrik;Elektrik;Elektrik;Elektrik;73;Lityum Iyon;483;525;157;18,5;AC 11 kW (%20 - %80) 4s 30dk, | AC 7,4 kW (%20 - %80) 6s, 45dk, | DC (160 kW) (%20 - %80) 30dk,;13487;170;343;210;8,8;2108;1890;4535;1665;520;Koltuklar Katlanmıyor;5;235/50 R20;235;50%;20;Onden Cekisli;Var;Reduktor Sanziman;Reduktor Sanziman;Reduktor Sanziman;Emisyon Yok;Emisyon Yok;;;;;6;4;Var;Var;Var;Var;Otomatik Klima;Alcantara & Deri;5;Elektronik;Elektronik;LED;Var
Peugeot E-3008 Allure 210 HP;Peugeot;E-3008 Allure;3008;Allure;2025;Fransa;Elektrik;SUV;SUV;C;BEV (Elektrikli);Elektrik;Elektrik;Elektrik;Elektrik;Elektrik;73;Lityum Iyon;483;525;157;18,5;AC 11 kW (%20 - %80) 4s 30dk, | AC 7,4 kW (%20 - %80) 6s, 45dk, | DC (160 kW) (%20 - %80) 30dk,;13487;170;343;210;8,8;2108;1890;4535;1665;520;Koltuklar Katlanmıyor;5;235/55 R19;235;55%;19;Onden Cekisli;Var;Reduktor Sanziman;Reduktor Sanziman;Reduktor Sanziman;Emisyon Yok;Emisyon Yok;;;;;6;4;Var;Var;Var;Var;Otomatik Klima;Kumaş & Deri;5;Elektronik;Elektronik;LED;Var
Peugeot E-308 156 HP GT;Peugeot;E-308;E-308;GT;2024;Fransa;Elektrik;Binek;Hatchback;C;BEV (Elektrikli);Elektrik;Elektrik;Elektrik;Elektrik;Elektrik;54;Lityum Iyon;410;510;115;15,1;AC Duvar Tipi (%0 - %100) 5sa, | DC (100 kW) (%0 - %80) 30dk,;6446;170;270;156;10,5;1684;1859;4367;1481;361;1277;5;225/40 R18;225;40%;18;Onden Cekisli;Var;Reduktor Sanziman;Reduktor Sanziman;Reduktor Sanziman;Emisyon Yok;Emisyon Yok;;;;;6;4;Var;Var;Var;Var;Otomatik Klima;Alcantara & Deri;5;Elektronik;Elektronik;LED;Var
Citroen e-C3 113 BG;Citroen;E-C3;e-C3;Max;2024;Fransa;Elektrik;SUV;SUV;B;BEV (Elektrikli);Elektrik;Elektrik;Elektrik;Elektrik;Elektrik;45;Lityum Demir Fosfat (LFP);320;320;83;16,4;AC Tip 2 11 kW (%20 - %80) 2s,50dk, | AC Tip 2 7,4 kW (%20 - %80) 4s,10dk, | DC 100 kW (%20 - %80) 26dk,;2104;135;120;113;11;1419;1755;4015;1567;310;Koltuklar Katlanmıyor;5;205/65 R15;205;65%;15;Arkadan Itisli;Var;Reduktor Sanziman;Reduktor Sanziman;Reduktor Sanziman;Emisyon Yok;Emisyon Yok;;;;;6;Test Edilmemiş;Var;Var;Var;Yok;Otomatik Klima; Kumas;5;Elektronik;Elektronik;LED;Var
