BASLIK;MARKA;MODEL;TEMEL OZELLIKLER - Seri;TEMEL OZELLIKLER - Donanim Paketi;TEMEL OZELLIKLER - Model Yillari;TEMEL OZELLIKLER - Ait Oldugu Ulke;TEMEL OZELLIKLER - Yakit Turu;TEMEL OZELLIKLER - Arac Turu;TEMEL OZELLIKLER - Govde Tipi;TEMEL OZELLIKLER - Segment;TEMEL OZELLIKLER - Motor Tipi;TEMEL OZELLIKLER - Yakit Tipi;MOTOR (Icten Yanmali) - Besleme Tipi;MOTOR (Icten Yanmali) - Silindir Adedi;MOTOR (Icten Yanmali) - Silindir Hacmi;MOTOR (Icten Yanmali) - Yakit Puskurtme;MOTOR (Elektrikli) - Batarya Kapasitesi;MOTOR (Elektrikli) - Batarya Tipi;MOTOR (Elektrikli) - Menzil (WLTP - Birlesik);MOTOR (Elektrikli) - Menzil (WLTP - Sehir Ici);MOTOR (Elektrikli) - Motor Gucu;MOTOR (Elektrikli) - Ortalama Tuketim (Elk.);MOTOR (Elektrikli) - Sarj Suresi;EKONOMI - MTV;EKONOMI - Bakim Masrafi (Tahmini);PERFORMANS - Azami Hiz;PERFORMANS - Azami Tork;PERFORMANS - Beygir Gucu;PERFORMANS - 0 - 100 Km Hizlanma;AGIRLIK & OLCULER - Agirlik;AGIRLIK & OLCULER - Genislik;AGIRLIK & OLCULER - Uzunluk;AGIRLIK & OLCULER - Yukseklik;BAGAJ OZELLIKLERI - Bagaj Hacmi (5 Koltuk);BAGAJ OZELLIKLERI - Bagaj Hacmi (2 Koltuk);DIS GOVDE - Kapi Sayisi;LASTIK & JANT - Lastik Ebatlari;LASTIK & JANT - Taban Genisligi;LASTIK & JANT - Kesit Orani;LASTIK & JANT - Jant Capi;SANZIMAN & CEKIS SISTEMI - Cekis;SANZIMAN & CEKIS SISTEMI - Cekis Kontrol Sistemi;SANZIMAN & CEKIS SISTEMI - Sanziman Turu;SANZIMAN & CEKIS SISTEMI - Sanziman Kademesi;SANZIMAN & CEKIS SISTEMI - Sanziman Modeli;YAKIT TUKETIMI & EMISYON - Emisyon Standardi;YAKIT TUKETIMI & EMISYON - Ortalama Emisyon;YAKIT TUKETIMI & EMISYON - Ortalama Y.Tuketimi (100 km);YAKIT TUKETIMI & EMISYON - Sehir Disi Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Sehir Ici Tuketim (100 km);YAKIT TUKETIMI & EMISYON - Yakit Kapasitesi (lt);YOLCU EMNIYETI - Hava Yastigi Adedi;YOLCU EMNIYETI - NCAP/ANCAP Adedi;GOSTERGELER & SENSORLER - Far Sensoru;GOSTERGELER & SENSORLER - Lastik Basinc Sensoru;GOSTERGELER & SENSORLER - Park Sensoru & Yardimi;GOSTERGELER & SENSORLER - Yagmur Sensoru;ISITMA & SOGUTMA - Klima;KOLTUKLAR & IC DOSEME - Koltuk Dosemesi Tipi;KOLTUKLAR & IC DOSEME - Koltuk Sayisi;KOLTUKLAR & IC DOSEME - Surucu Koltugu Ayarlari;KOLTUKLAR & IC DOSEME - On Yolcu Koltugu Ayarlari;LAMBALAR & AYDINLATMA - Far Tipi;LAMBALAR & AYDINLATMA - Sis Farlari;Performance_Score;Ic_Hacim_Score;Konfor_Score;Guvenlik_Score;Eko_Score;Maintenance_Score;GLOBAL_SCORE
BMW X4 xDrive20d 2.0 190 BG Otomatik (4x4);BMW;X4 Xdrive20D;X4 Serisi;Turkiye Paketi;2015, 2016;Almanya;Fosil Yakıt;SUV;SUV;Premium D;Icten Yanmali (Standart);Dizel;Cift Turbo;4;1995;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;10.613;nan;212;400;190;8.0;1820;1881;4671;1624;500;1400;5;245/50 R18;245;50%;18;4x4 Cekisli;Var;Otomatik;8 ileri;Steptronic;EURO 6;129;5.16;4.70;5.30;67;6;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;148;5737;1785;554;64;60;1321
Mercedes GLC Coupe 250d 2.2 204 BG 4MATIC 9G-Tronic AMG (4x4);Mercedes-Benz;Glc Coupe 250D;GLC;AMG;2016;Almanya;Fosil Yakıt;Binek;Coupe;Premium D;Icten Yanmali (Standart);Dizel;Turbo;4;2143;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;15.954;nan;222;500;204;7.6;1845;1890;4732;1602;505;1400;5;235/55 R19;235;55%;19;4x4 Cekisli;Var;Otomatik;9 ileri;9G-Tronic;EURO 6;143;5.89;5.10;6.30;50;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Elektronik;Elektronik;LED;Var;172;5761;1805;563;60;55;1333
Mercedes Sprinter Servis 316 CDI 2.2 163 BG Comfort Plus Uzun (14+1);Mercedes-Benz;Sprinter Servis 316;Sprinter;Comfort Plus;2018;Almanya;Fosil Yakıt;Ticari;Minibus;Hafif Ticari;Icten Yanmali (Standart);Dizel;Cift Kademeli Turbo;4;2143;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;17.549;nan;190;360;163;12.0;3050;1993;5961;2609;1400;Koltuklar Katlanmıyor;5;235/65 R16;235;65%;16;Arkadan Itisli;Var;Manuel;6 ileri;Manuel;EURO 6;#BAŞV!;8.79;7.50;9.50;75;1;Test Edilmemiş;Var;Var;Yok;Var;Manuel Klima;Kumas;15;Manuel;Manuel;Halojen;Var;75;12428;3809;977;58;66;2723
Mercedes Sprinter Servis 316 CDI 2.2 163 BG Comfort Uzun (14+1);Mercedes-Benz;Sprinter Servis 316;Sprinter;Comfort;2018;Almanya;Fosil Yakıt;Ticari;Minibus;Hafif Ticari;Icten Yanmali (Standart);Dizel;Cift Kademeli Turbo;4;2143;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;17.549;nan;190;360;163;12.0;2800;1993;5961;2609;1400;Koltuklar Katlanmıyor;5;235/65 R16;235;65%;16;Arkadan Itisli;Var;Manuel;6 ileri;Manuel;EURO 6;#BAŞV!;8.79;7.50;9.50;75;1;Test Edilmemiş;Var;Var;Yok;Var;Manuel Klima;Kumas;15;Manuel;Manuel;Halojen;Var;80;12428;3809;979;58;66;2724
Mercedes GLC Coupe 250 2.0 211 BG 4MATIC 9G-Tronic AMG (4x4);Mercedes-Benz;Glc Coupe 250;GLC;AMG;2016;Almanya;Fosil Yakıt;Binek;Coupe;Premium D;Icten Yanmali (Standart);Benzin;Turbo;4;1991;Cok Noktadan Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;10.613;nan;222;350;211;7.3;1735;1890;4732;1602;505;1400;5;235/55 R19;235;55%;19;4x4 Cekisli;Var;Otomatik;9 ileri;9G-Tronic;EURO 6;166;7.66;6.30;8.50;66;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Elektronik;Elektronik;LED;Var;159;5761;1805;565;58;54;1330
Fiat Egea Cross 1.0 Firefly 100 HP Lounge;Fiat;Egea Cross;Egea;Lounge;2021, 2022;Italya;Fosil Yakıt;SUV;SUV;C;Icten Yanmali (Standart);Benzin;Turbo;3;999;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;4.834;nan;183;190;100;12.2;1260;1802;4386;1556;440;1400;5;215/60 R16;215;60%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6.2;131;5.80;4.70;6.50;50;6;3;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Var;69;4949;1545;472;73;91;1130
Fiat Egea Cross 1.0 Firefly 100 HP Street;Fiat;Egea Cross;Egea;Street;2021;Italya;Fosil Yakıt;SUV;SUV;C;Icten Yanmali (Standart);Benzin;Turbo;3;999;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.372;nan;183;190;100;12.2;1260;1802;4386;1556;440;1400;5;215/60 R16;215;60%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6.2;131;5.80;4.70;6.50;50;6;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;69;4949;1533;472;73;91;1130
Fiat Egea Cross 1.0 Firefly 100 HP Urban;Fiat;Egea Cross;Egea;Urban;2021;Italya;Fosil Yakıt;SUV;SUV;C;Icten Yanmali (Standart);Benzin;Turbo;3;999;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.372;nan;183;190;100;12.2;1260;1802;4386;1556;440;1400;5;215/55 R17;215;55%;17;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6.2;131;5.80;4.70;6.50;50;6;3;Yok;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;69;4949;1533;472;73;91;1130
Volvo XC60 D4 2.0 190 HP AWD Geartronic Inscription (4x4);Volvo;Xc60 D4;XC60;Inscription;2017, 2018;Isvec > Cin;Fosil Yakıt;SUV;SUV;Premium C;Icten Yanmali (Standart);Dizel;Cift Turbo;4;1969;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;11.674;nan;205;400;190;8.4;1846;1902;4688;1658;505;1410;5;235/60 R18;235;60%;18;4x4 Cekisli;Var;Otomatik;8 ileri;Geartronic;EURO 6.2;136;5.63;4.90;6.00;60;6;5;Var;Var;Var;Var;Otomatik Klima;Deri;5;Elektronik;Elektronik;LED;Var;141;5943;1859;570;63;60;1363
Volvo XC60 D4 2.0 190 HP AWD Geartronic Momentum (4x4);Volvo;Xc60 D4;XC60;Momentum;2017, 2018;Isvec > Cin;Fosil Yakıt;SUV;SUV;Premium C;Icten Yanmali (Standart);Dizel;Cift Turbo;4;1969;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;11.674;nan;205;400;190;8.4;1846;1902;4688;1658;505;1410;5;235/60 R18;235;60%;18;4x4 Cekisli;Var;Otomatik;8 ileri;Geartronic;EURO 6.2;136;5.63;4.90;6.00;60;6;5;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;141;5943;1845;570;63;60;1363
Volvo XC60 D4 2.0 190 HP AWD Geartronic R-Design (4x4);Volvo;Xc60 D4;XC60;R-Design;2017, 2018;Isvec > Cin;Fosil Yakıt;SUV;SUV;Premium C;Icten Yanmali (Standart);Dizel;Cift Turbo;4;1969;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;11.674;nan;205;400;190;8.4;1149;1902;4688;1658;505;1410;5;235/60 R18;235;60%;18;4x4 Cekisli;Var;Otomatik;8 ileri;Geartronic;EURO 6.2;136;5.63;4.90;6.00;60;6;5;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Manuel;Manuel;LED;Var;155;5943;1859;577;63;60;1369
Mercedes Vito Kombi Base Ekstra Uzun 1.6 CDI 114 BG (4+1);Mercedes-Benz;Vito Kombi Base Ekstra Uzun;Vito;Base;2017, 2018;Almanya;Fosil Yakıt;Ticari;Kombi Van;Hafif Ticari;Icten Yanmali (Standart);Dizel;Degisken Geometrili Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;169;270;114;15.1;1762;1928;5370;1910;1400;1410;5;205/65 R16;205;65%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;164;6.83;5.40;7.80;70;2;3;Var;Yok;Yok;Yok;Yari Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Var;46;7940;2441;675;69;82;1760
Mercedes Vito Tourer Ekstra Uzun 1.6 CDI 114 BG Base (8+1);Mercedes-Benz;Vito Tourer Ekstra Uzun;Vito;Base;2017, 2018;Almanya;Fosil Yakıt;Ticari;Minibus;Hafif Ticari;Icten Yanmali (Standart);Dizel;Degisken Geometrili Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;169;270;114;15.1;3050;1928;5370;1890;1410;Koltuklar Katlanmıyor;5;205/65 R16;205;65%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;164;6.83;5.40;7.80;70;2;3;Var;Var;Yok;Yok;Yari Otomatik Klima;Kumas;9;Manuel;Manuel;Halojen;Var;21;7857;2428;655;69;82;1732
Mercedes Vito Tourer Ekstra Uzun 1.6 CDI 114 BG Base Plus (8+1);Mercedes-Benz;Vito Tourer Ekstra Uzun;Vito;Base Plus;2017, 2018;Almanya;Fosil Yakıt;Ticari;Minibus;Hafif Ticari;Icten Yanmali (Standart);Dizel;Degisken Geometrili Turbo;4;1598;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.661;nan;169;270;114;15.1;2055;1928;5370;1890;1410;Koltuklar Katlanmıyor;5;205/65 R16;205;65%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6;164;6.83;5.40;7.80;70;2;3;Var;Var;Yok;Var;Yari Otomatik Klima;Kumas;9;Manuel;Manuel;Halojen;Var;41;7857;2428;665;69;82;1740
Skoda Scala 1.0 TSI 110 PS DSG Elite;Skoda;Scala;Scala;Elite;2021;Cek Cumhuriyeti > Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;3;999;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.372;nan;198;200;110;13.0;1242;1793;4362;1499;467;1410;5;205/55 R16;205;55%;16;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;108;5.13;4.00;5.90;50;6;5;Var;Var;Var;Yok;Otomatik Klima;Kumaş;5;Elektronik;Elektronik;LED;Var;77;4720;1475;478;74;88;1088
Skoda Scala 1.0 TSI 110 PS DSG Premium;Skoda;Scala;Scala;Premium;2021;Cek Cumhuriyeti > Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;3;999;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.372;nan;198;200;110;13.0;1242;1793;4362;1499;467;1410;5;205/50 R17;205;50%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;108;5.13;4.00;5.90;50;6;5;Var;Var;Var;Var;Otomatik Klima;Kumaş & Deri;5;Elektronik;Elektronik;LED;Var;77;4720;1489;478;73;88;1088
Skoda Scala 1.5 TSI ACT 150 PS DSG Premium;Skoda;Scala;Scala;Premium;2021;Cek Cumhuriyeti > Almanya;Fosil Yakıt;Binek;Hatchback;C;Icten Yanmali (Standart);Benzin;Turbo;4;1498;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;219;250;150;8.2;1255;1793;4362;1499;467;1410;5;205/50 R17;205;50%;17;Onden Cekisli;Var;Otomatik;7 ileri;DSG (YO);EURO 6.2;115;5.44;4.20;6.30;50;6;5;Var;Var;Var;Var;Otomatik Klima;Kumaş & Deri;5;Elektronik;Elektronik;LED;Var;135;4720;1489;478;68;73;1102
Citroen Berlingo 1.6 BlueHDi 100 HP S&S Feel;Citroen;Berlingo;Berlingo;Feel;2019;Fransa;Fosil Yakıt;Ticari;Kombi;C;Icten Yanmali (Standart);Dizel;Turbo;4;1560;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;166;254;100;12.9;1443;2107;4403;1844;775;1414;5;215/65 R16;215;65%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6.1;116;4.70;4.20;4.90;50;4;4;Var;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;59;6873;2110;620;73;86;1541
Citroen Berlingo 1.6 BlueHDi 100 HP S&S Shine;Citroen;Berlingo;Berlingo;Shine;2019;Fransa;Fosil Yakıt;Ticari;Kombi;C;Icten Yanmali (Standart);Dizel;Turbo;4;1560;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;166;254;100;12.9;1443;2107;4403;1844;775;1414;5;215/65 R16;215;65%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6.1;116;4.70;4.20;4.90;50;4;4;Var;Var;Var;Var;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;59;6873;2110;620;73;86;1541
Citroen Berlingo 1.5 BlueHDi 100 HP Feel Stil;Citroen;Berlingo;Berlingo;Feel Stil;2019, 2020, 2021, 2022;Fransa;Fosil Yakıt;Ticari;Kombi;C;Icten Yanmali (Standart);Dizel;Turbo;4;1499;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;171;250;100;12.6;1481;2107;4403;1844;775;1414;5;215/65 R16;215;65%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6.2;116;4.59;4.10;4.80;50;4;4;Var;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;LED;Var;62;6873;2110;620;74;87;1542
Citroen Berlingo 1.5 BlueHDi 100 HP Feel;Citroen;Berlingo;Berlingo;Feel;2019, 2020;Fransa;Fosil Yakıt;Ticari;Kombi;C;Icten Yanmali (Standart);Dizel;Turbo;4;1499;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;171;250;100;12.6;1481;2107;4403;1844;775;1414;5;215/65 R16;215;65%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6.2;116;4.59;4.10;4.80;50;4;4;Var;Var;Var;Yok;Manuel Klima;Kumas;5;Manuel;Manuel;LED;Var;62;6873;2110;620;74;87;1542
Citroen Berlingo 1.5 BlueHDi 100 HP Shine;Citroen;Berlingo;Berlingo;Shine;2019;Fransa;Fosil Yakıt;Ticari;Kombi;C;Icten Yanmali (Standart);Dizel;Turbo;4;1499;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;171;250;100;12.6;1481;2107;4403;1844;775;1414;5;215/65 R16;215;65%;16;Onden Cekisli;Var;Manuel;5 ileri;Manuel;EURO 6.2;116;4.59;4.10;4.80;50;4;4;Var;Var;Var;Var;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;62;6873;2110;620;74;87;1542
Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Feel Bold;Citroen;Berlingo;Berlingo;Feel Bold;2023;Fransa;Fosil Yakıt;Ticari;Kombi;C;Icten Yanmali (Standart);Dizel;Turbo;4;1499;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;8.421;nan;184;300;130;11.0;1461;2107;4403;1844;775;1414;5;205/55 R17;205;55%;17;Onden Cekisli;Var;Otomatik;8 ileri;EAT8;EURO 6.2;116;4.33;4.00;4.40;50;4;4;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik;Halojen;Var;94;6873;2121;620;71;79;1550
Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Shine;Citroen;Berlingo;Berlingo;Shine;2020, 2021, 2022, 2023;Fransa;Fosil Yakıt;Ticari;Kombi;C;Icten Yanmali (Standart);Dizel;Turbo;4;1499;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;8.421;nan;184;300;130;11.0;1461;2107;4403;1844;775;1414;5;205/55 R17;205;55%;17;Onden Cekisli;Var;Otomatik;8 ileri;EAT8;EURO 6.2;116;4.33;4.00;4.40;50;4;4;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik;Halojen;Var;94;6873;2121;620;71;79;1550
Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Shine Bold;Citroen;Berlingo;Berlingo;Shine Bold;2020, 2021, 2022, 2023;Fransa;Fosil Yakıt;Ticari;Kombi;C;Icten Yanmali (Standart);Dizel;Turbo;4;1499;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;8.421;nan;184;300;130;11.0;1461;2107;4403;1844;775;1414;5;205/55 R17;205;55%;17;Onden Cekisli;Var;Otomatik;8 ileri;EAT8;EURO 6.2;116;4.33;4.00;4.40;50;4;4;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik;Halojen;Var;94;6873;2121;620;71;79;1550
Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Feel Stil;Citroen;Berlingo;Berlingo;Feel Stil;2020, 2021, 2022;Fransa;Fosil Yakıt;Ticari;Kombi;C;Icten Yanmali (Standart);Dizel;Turbo;4;1499;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;8.421;nan;184;300;130;11.0;1461;2107;4403;1844;775;1414;5;205/55 R17;205;55%;17;Onden Cekisli;Var;Otomatik;8 ileri;EAT8;EURO 6.2;116;4.33;4.00;4.40;50;4;4;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik;Halojen;Var;94;6873;2121;620;71;79;1550
Citroen Berlingo 1.5 BlueHDi 130 HP Feel Bold;Citroen;Berlingo;Berlingo;Feel Bold;2023;Fransa;Fosil Yakıt;Ticari;Kombi;C;Icten Yanmali (Standart);Dizel;Turbo;4;1499;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;8.421;nan;185;300;130;10.3;1467;2107;4403;1844;775;1414;5;205/55 R17;205;55%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6.2;117;4.49;4.00;4.70;50;4;4;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;Halojen;Var;98;6873;2121;620;71;79;1551
Citroen Berlingo 1.5 BlueHDi 130 HP Shine;Citroen;Berlingo;Berlingo;Shine;2020, 2021, 2022;Fransa;Fosil Yakıt;Ticari;Kombi;C;Icten Yanmali (Standart);Dizel;Turbo;4;1499;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;8.421;nan;185;300;130;10.3;1467;2107;4403;1844;775;1414;5;205/55 R17;205;55%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6.2;117;4.49;4.00;4.70;50;4;4;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik;Halojen;Var;98;6873;2121;620;71;79;1551
Citroen Berlingo 1.5 BlueHDi 130 HP S&S Shine;Citroen;Berlingo;Berlingo;Shine;2019;Fransa;Fosil Yakıt;Ticari;Kombi;C;Icten Yanmali (Standart);Dizel;Turbo;4;1499;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;6.314;nan;185;300;130;10.3;1467;2107;4403;1844;775;1414;5;205/55 R17;205;55%;17;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6.1;120;4.80;4.20;5.10;50;4;4;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Elektronik;Elektronik;Halojen;Var;98;6873;2121;620;71;79;1551
Citroen Berlingo 1.2 PureTech 110 S&S Feel;Citroen;Berlingo;Berlingo;Feel;2019;Fransa;Fosil Yakıt;Ticari;Kombi;C;Icten Yanmali (Standart);Benzin;Turbo;3;1199;Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;3.372;nan;168;205;110;11.5;1371;2107;4403;1844;775;1414;5;215/65 R16;215;65%;16;Onden Cekisli;Var;Manuel;6 ileri;Manuel;EURO 6.2;128;6.10;5.00;6.80;61;6;4;Var;Var;Var;Var;Manuel Klima;Kumas;5;Manuel;Manuel;Halojen;Var;66;6873;2110;637;72;87;1546
Nissan X-Trail 1.5 DIG-T 163 BG X-Tronic CVT Platinum Premium;Nissan;X-Trail;X-Trail;Platinum Premium;2023;Japonya;Fosil Yakıt;SUV;SUV;D;MHEV (Yari Hibrit Sistem);Benzin & Elektrik;Turbo;3;1500;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;8.421;nan;200;300;163;9.6;1669;1840;4680;1725;585;1424;5;235/55 R18;235;55%;18;Onden Cekisli;Var;Otomatik;Kademesiz;CVT;EURO 6.2;#BAŞV!;7.19;6.00;7.90;55;7;5;Var;Var;Var;Var;Otomatik Klima;Deri;7;Manuel;Manuel;Halojen;Var;116;5972;1874;582;64;71;1366
Nissan X-Trail 1.5 DIG-T 163 BG X-Tronic CVT Skypack;Nissan;X-Trail;X-Trail;Skypack;2023;Japonya;Fosil Yakıt;SUV;SUV;D;MHEV (Yari Hibrit Sistem);Benzin & Elektrik;Turbo;3;1500;Common Rail Direkt Enjeksiyon;nan;nan;nan;nan;nan;nan;nan;8.421;nan;200;300;163;9.6;1669;1840;4680;1725;585;1424;5;235/55 R18;235;55%;18;Onden Cekisli;Var;Otomatik;Kademesiz;CVT;EURO 6.2;#BAŞV!;7.19;6.00;7.90;55;7;5;Var;Var;Var;Var;Otomatik Klima;Kumas;7;Manuel;Manuel;Halojen;Var;116;5972;1860;582;64;71;1366
Kia Niro Hibrit 1.6 141 PS DCT Cool;Kia;Niro;Niro;Cool;2018;Guney Kore;Fosil Yakıt;SUV;SUV;C;HEV (Benzinli & Elektrikli);Benzin & Elektrik;Elektrik;4;Elektrik;Elektrik;nan;nan;nan;nan;nan;nan;nan;1.712;nan;162;265;141;11.5;1425;1805;4355;1545;421;1425;5;205/60 R16;205;60%;16;Onden Cekisli;Var;Otomatik;6 ileri;DCT (YO);EURO 6;88;3.91;3.80;3.80;45;7;4;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;77;4888;1526;486;75;85;1122
Kia Niro Hibrit 1.6 141 PS DCT Elegance;Kia;Niro;Niro;Elegance;2018;Guney Kore;Fosil Yakıt;SUV;SUV;C;HEV (Benzinli & Elektrikli);Benzin & Elektrik;Elektrik;4;Elektrik;Elektrik;nan;nan;nan;nan;nan;nan;nan;1.712;nan;162;265;141;11.5;1425;1805;4355;1545;421;1425;5;225/45 R18;225;45%;18;Onden Cekisli;Var;Otomatik;6 ileri;DCT (YO);EURO 6;88;3.91;3.80;3.80;45;7;4;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Manuel;Manuel;LED;Var;77;4888;1542;486;75;85;1122
Kia Niro Hibrit 1.6 141 PS DCT Prestige;Kia;Niro;Niro;Elegance;2018;Guney Kore;Fosil Yakıt;SUV;SUV;C;HEV (Benzinli & Elektrikli);Benzin & Elektrik;Elektrik;4;Elektrik;Elektrik;nan;nan;nan;nan;nan;nan;nan;1.712;nan;162;265;141;11.5;1425;1805;4355;1545;421;1425;5;225/45 R18;225;45%;18;Onden Cekisli;Var;Otomatik;6 ileri;DCT (YO);EURO 6;88;3.91;3.80;3.80;45;7;4;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Elektronik;Manuel;LED;Var;77;4888;1542;486;75;85;1122
Kia Niro Hibrit 1.6 141 PS DCT Concept Plus;Kia;Niro;Niro;Concept Plus;2017;Guney Kore;Fosil Yakıt;SUV;SUV;C;HEV (Benzinli & Elektrikli);Benzin & Elektrik;Elektrik;4;Elektrik;Elektrik;nan;nan;nan;nan;nan;nan;nan;3.661;nan;162;265;141;11.5;1425;1805;4355;1545;427;1425;5;205/60 R16;205;60%;16;Onden Cekisli;Var;Otomatik;6 ileri;DCT (YO);EURO 6;88;3.91;3.80;3.80;45;7;4;Var;Var;Var;Var;Otomatik Klima;Kumas;5;Manuel;Manuel;LED;Var;77;4888;1526;486;75;85;1122
Kia Niro Hibrit 1.6 141 PS DCT Exclusive;Kia;Niro;Niro;Exclusive;2017;Guney Kore;Fosil Yakıt;SUV;SUV;C;HEV (Benzinli & Elektrikli);Benzin & Elektrik;Elektrik;4;Elektrik;Elektrik;nan;nan;nan;nan;nan;nan;nan;3.661;nan;162;265;141;11.5;1425;1805;4355;1545;427;1425;5;225/45 R18;225;45%;18;Onden Cekisli;Var;Otomatik;6 ileri;DCT (YO);EURO 6;88;3.91;3.80;3.80;45;7;4;Var;Var;Var;Var;Otomatik Klima;Kumas & Deri;5;Elektronik;Manuel;LED;Var;77;4888;1542;486;75;85;1122
