AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DIŞ GÖVDE - Arka Kapı Tipi,DIŞ GÖVDE - Arka Tekerlek,DIŞ GÖVDE - Kapı Sayısı,DIŞ GÖVDE - Sürgülü Sağ Yan Kapı,DIŞ GÖVDE - Şasi Tipi,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Diğer Özellikler,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG CO2 Salınımı,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - Anahtarsız Sistem,YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Uzunluk,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
1330 kg,,1790 mm,4370 mm,1455 mm,,361 lt,,2020 Yeni Toyota Corolla HB 1.2 Turbo 116 PS Multidrive S Dream,,,,,,2020 Yeni Toyota Corolla HB 1.2 Turbo 116 PS Multidrive S Dream Test Sürüşü Talep Sayfası,2020 Yeni Toyota Corolla HB 1.2 Turbo 116 PS Multidrive S Dream Ürün Kataloğu,,,,,,,,,Atmosferik,,4,1197 cc,Direkt Püskürtme,10.0 saniye,195 km/s,185 nm,116 BG,Japonya,Hatchback,Binek,Dream,Hatchback,2020,İçten Yanmalı (Standart),1156 tl/yıl,C,Corolla,Benzin,https://www.epey.com/araba/2020-yeni-toyota-corolla-hb-1-2-turbo-116-ps-multidrive-s-dream.html,,,,,,,134 g/km,5.9 lt,50 lt,,5.1 lt,7.2 lt,,5 yıldız,2020 Yeni Toyota Corolla HB 1.2 Turbo 116 PS Multidrive S Dream NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,Multidrive S (Değişken Oranlı CVT)
1330 kg,,1790 mm,4370 mm,1455 mm,,361 lt,,2020 Yeni Toyota Corolla HB 1.2 Turbo 116 PS Multidrive S Flame X-Pack,,,,,,2020 Yeni Toyota Corolla HB 1.2 Turbo 116 PS Multidrive S Flame X-Pack Test Sürüşü Talep Sayfası,2020 Yeni Toyota Corolla HB 1.2 Turbo 116 PS Multidrive S Flame X-Pack Ürün Kataloğu,,,,,,,,,Atmosferik,,4,1197 cc,Direkt Püskürtme,10.0 saniye,195 km/s,185 nm,116 BG,Japonya,Hatchback,Binek,Flame X-Pack,Hatchback,2020,İçten Yanmalı (Standart),1156 tl/yıl,C,Corolla,Benzin,https://www.epey.com/araba/2020-yeni-toyota-corolla-hb-1-2-turbo-116-ps-multidrive-s-flame-x-pack.html,,,,,,,134 g/km,5.9 lt,50 lt,,5.1 lt,7.2 lt,,5 yıldız,2020 Yeni Toyota Corolla HB 1.2 Turbo 116 PS Multidrive S Flame X-Pack NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,Multidrive S (Değişken Oranlı CVT)
1330 kg,,1790 mm,4370 mm,1455 mm,,361 lt,,2020 Yeni Toyota Corolla HB 1.2 Turbo 116 PS Multidrive S Flame,,,,,,2020 Yeni Toyota Corolla HB 1.2 Turbo 116 PS Multidrive S Flame Test Sürüşü Talep Sayfası,2020 Yeni Toyota Corolla HB 1.2 Turbo 116 PS Multidrive S Flame Ürün Kataloğu,,,,,,,,,Atmosferik,,4,1197 cc,Direkt Püskürtme,10.0 saniye,195 km/s,185 nm,116 BG,Japonya,Hatchback,Binek,Flame,Hatchback,2020,İçten Yanmalı (Standart),1156 tl/yıl,C,Corolla,Benzin,https://www.epey.com/araba/2020-yeni-toyota-corolla-hb-1-2-turbo-116-ps-multidrive-s-flame.html,,,,,,,134 g/km,5.9 lt,50 lt,,5.1 lt,7.2 lt,,5 yıldız,2020 Yeni Toyota Corolla HB 1.2 Turbo 116 PS Multidrive S Flame NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,Multidrive S (Değişken Oranlı CVT)
1330 kg,,1790 mm,4370 mm,1455 mm,,361 lt,,2020 Yeni Toyota Corolla HB 1.2 Turbo 116 PS Multidrive S Dream X-Pack,,,,,,2020 Yeni Toyota Corolla HB 1.2 Turbo 116 PS Multidrive S Dream X-Pack Test Sürüşü Talep Sayfası,2020 Yeni Toyota Corolla HB 1.2 Turbo 116 PS Multidrive S Dream X-Pack Ürün Kataloğu,,,,,,,,,Atmosferik,,4,1197 cc,Direkt Püskürtme,10.0 saniye,195 km/s,185 nm,116 BG,Japonya,Hatchback,Binek,X-Pack,Hatchback,2020,İçten Yanmalı (Standart),1156 tl/yıl,C,Corolla,Benzin,https://www.epey.com/araba/2020-yeni-toyota-corolla-hb-1-2-turbo-116-ps-multidrive-s-x-pack.html,,,,,,,134 g/km,5.9 lt,50 lt,,5.1 lt,7.2 lt,,5 yıldız,2020 Yeni Toyota Corolla HB 1.2 Turbo 116 PS Multidrive S Dream X-Pack NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,Multidrive S (Değişken Oranlı CVT)
1360 kg,,1790 mm,4370 mm,1455 mm,,361 lt,,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Dream X-Pack,,,,,,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Dream X-Pack Test Sürüşü Talep Sayfası,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Dream X-Pack Ürün Kataloğu,,,,163 nm,53 kW/sa,Lityum İyon,,,Atmosferik,,4,1798 cc,EFI (Elektronik Yakıt Püskürtme),10.9 saniye,180 km/s,142 nm,122 BG,Japonya,Hatchback,Binek,Dream X-Pack,Hatchback,2020,HEV (Benzinli & Elektrikli),3557 tl/yıl,C,Corolla,Benzin & Elektrik,https://www.epey.com/araba/2020-yeni-toyota-corolla-hb-1-8-hybrid-122-ps-e-cvt-dream-x-pack.html,,,,,,,83 g/km,3.6 lt,43 lt,,3.8 lt,3.5 lt,,5 yıldız,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Dream X-Pack NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,e-CVT (Elk.Kont.Sürekli Değişken)
1360 kg,,1790 mm,4370 mm,1455 mm,,361 lt,,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Dream,,,,,,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Dream Test Sürüşü Talep Sayfası,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Dream Ürün Kataloğu,,,,163 nm,53 kW/sa,Lityum İyon,,,Atmosferik,,4,1798 cc,EFI (Elektronik Yakıt Püskürtme),10.9 saniye,180 km/s,142 nm,122 BG,Japonya,Hatchback,Binek,Dream,Hatchback,2020,HEV (Benzinli & Elektrikli),3557 tl/yıl,C,Corolla,Benzin & Elektrik,https://www.epey.com/araba/2020-yeni-toyota-corolla-hb-1-8-hybrid-122-ps-e-cvt-dream.html,,,,,,,83 g/km,3.6 lt,43 lt,,3.8 lt,3.5 lt,,5 yıldız,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Dream NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,e-CVT (Elk.Kont.Sürekli Değişken)
1360 kg,,1790 mm,4370 mm,1455 mm,,361 lt,,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Flame X-Pack,,,,,,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Flame X-Pack Test Sürüşü Talep Sayfası,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Flame X-Pack Ürün Kataloğu,,,,163 nm,53 kW/sa,Lityum İyon,,,Atmosferik,,4,1798 cc,EFI (Elektronik Yakıt Püskürtme),10.9 saniye,180 km/s,142 nm,122 BG,Japonya,Hatchback,Binek,Flame X-Pack,Hatchback,2020,HEV (Benzinli & Elektrikli),3557 tl/yıl,C,Corolla,Benzin & Elektrik,https://www.epey.com/araba/2020-yeni-toyota-corolla-hb-1-8-hybrid-122-ps-e-cvt-flame-x-pack.html,,,,,,,83 g/km,3.6 lt,43 lt,,3.8 lt,3.5 lt,,5 yıldız,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Flame X-Pack NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,e-CVT (Elk.Kont.Sürekli Değişken)
1360 kg,,1790 mm,4370 mm,1455 mm,,361 lt,,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Flame,,,,,,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Flame Test Sürüşü Talep Sayfası,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Flame Ürün Kataloğu,,,,163 nm,53 kW/sa,Lityum İyon,,,Atmosferik,,4,1798 cc,EFI (Elektronik Yakıt Püskürtme),10.9 saniye,180 km/s,142 nm,122 BG,Japonya,Hatchback,Binek,Flame,Hatchback,2020,HEV (Benzinli & Elektrikli),3557 tl/yıl,C,Corolla,Benzin & Elektrik,https://www.epey.com/araba/2020-yeni-toyota-corolla-hb-1-8-hybrid-122-ps-e-cvt-flame.html,,,,,,,83 g/km,3.6 lt,43 lt,,3.8 lt,3.5 lt,,5 yıldız,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Flame NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,e-CVT (Elk.Kont.Sürekli Değişken)
1360 kg,,1790 mm,4370 mm,1455 mm,,361 lt,,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Passion X-Pack,,,,,,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Passion X-Pack Test Sürüşü Talep Sayfası,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Passion X-Pack Ürün Kataloğu,,,,163 nm,53 kW/sa,Lityum İyon,,,Atmosferik,,4,1798 cc,EFI (Elektronik Yakıt Püskürtme),10.9 saniye,180 km/s,142 nm,122 BG,Japonya,Hatchback,Binek,Passion X-Pack,Hatchback,2020,HEV (Benzinli & Elektrikli),3557 tl/yıl,C,Corolla,Benzin & Elektrik,https://www.epey.com/araba/2020-yeni-toyota-corolla-hb-1-8-hybrid-122-ps-e-cvt-passion-x-pack.html,,,,,,,83 g/km,3.6 lt,43 lt,,3.8 lt,3.5 lt,,5 yıldız,2020 Yeni Toyota Corolla HB 1.8 Hybrid 122 PS e-CVT Passion X-Pack NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,,Otomatik,e-CVT (Elk.Kont.Sürekli Değişken)
1385 kg,,1799 mm,4319 mm,1434 mm,1200 lt,380 lt,,2021 BMW 1 116d 1.5 116 BG Otomatik M Sport,,,,,,2021 BMW 1 116d 1.5 116 BG Otomatik M Sport Test Sürüşü Talep Sayfası,2021 BMW 1 116d 1.5 116 BG Otomatik M Sport Ürün Kataloğu,,,,,,,,,Turbo,,3,1496 cc,,10.1 saniye,198 km/s,270 nm,116 BG,Almanya,,Binek,M Sport,Hatchback,2021,İçten Yanmalı (Standart),2197 tl/yıl,Premium C,1 Serisi,Dizel,https://www.epey.com/araba/2021-bmw-1-116d-1-5-116-bg-otomatik-m-sport.html,,,,,,,120 g/km,4.6 lt,42 lt,,4.3 lt,5.0 lt,,5 yıldız,2021 BMW 1 116d 1.5 116 BG Otomatik M Sport NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,
1385 kg,,1799 mm,4319 mm,1434 mm,1200 lt,380 lt,,2021 BMW 116d 1.5 116 BG Otomatik Sport Line,,,,,,2021 BMW 116d 1.5 116 BG Otomatik Sport Line Test Sürüşü Talep Sayfası,2021 BMW 116d 1.5 116 BG Otomatik Sport Line Ürün Kataloğu,,,,,,,,,Turbo,,3,1496 cc,,10.1 saniye,198 km/s,270 nm,116 BG,Almanya,,Binek,Sport Line,Hatchback,2021,İçten Yanmalı (Standart),2197 tl/yıl,Premium C,1 Serisi,Dizel,https://www.epey.com/araba/2021-bmw-116d-1-5-116-bg-otomatik-sport-line.html,,,,,,,120 g/km,4.6 lt,42 lt,,4.3 lt,5.0 lt,,5 yıldız,2021 BMW 116d 1.5 116 BG Otomatik Sport Line NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,
1320 kg,,1799 mm,4319 mm,1434 mm,1200 lt,380 lt,,2021 BMW 118i 1.5 140 BG Otomatik M Sport,,,,,,2021 BMW 118i 1.5 140 BG Otomatik M Sport Test Sürüşü Talep Sayfası,2021 BMW 118i 1.5 140 BG Otomatik M Sport Ürün Kataloğu,,,,,,,,,Turbo,,3,1499 cc,,8.5 saniye,211 km/s,220 nm,140 BG,Almanya,,Binek,M Sport,Hatchback,2021,İçten Yanmalı (Standart),2197 tl/yıl,Premium C,1 Serisi,Benzin,https://www.epey.com/araba/2021-bmw-118i-1-5-140-bg-otomatik-m-sport.html,,,,,,,135 g/km,5.9 lt,42 lt,,5.3 lt,7.0 lt,,5 yıldız,2021 BMW 118i 1.5 140 BG Otomatik M Sport NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,
1320 kg,,1799 mm,4319 mm,1434 mm,1200 lt,380 lt,,2021 BMW 118i 1.5 140 BG Otomatik Sport Line,,,,,,2021 BMW 118i 1.5 140 BG Otomatik Sport Line Test Sürüşü Talep Sayfası,2021 BMW 118i 1.5 140 BG Otomatik Sport Line Ürün Kataloğu,,,,,,,,,Turbo,,3,1499 cc,,8.5 saniye,211 km/s,220 nm,140 BG,Almanya,,Binek,Sport Line,Hatchback,2021,İçten Yanmalı (Standart),2197 tl/yıl,Premium C,1 Serisi,Benzin,https://www.epey.com/araba/2021-bmw-118i-1-5-140-bg-otomatik-sport-line.html,,,,,,,135 g/km,5.9 lt,42 lt,,5.3 lt,7.0 lt,,5 yıldız,2021 BMW 118i 1.5 140 BG Otomatik Sport Line NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,
1525 kg,,1827 mm,4709 mm,1435 mm,,480 lt,,2021 BMW 320i 1.6 170 BG Steptronic Luxury Line,,,,,,2021 BMW 320i 1.6 170 BG Steptronic Luxury Line Test Sürüşü Talep Sayfası,2021 BMW 320i 1.6 170 BG Steptronic Luxury Line Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
12 Yıl Paslanmazlık",BMW Acil Yardım 444 2299,Var,,,,,,Çift Turbo,BMW TwinPower Turbo (İkiz Turbo),4,1597 cc,Direkt Enjeksiyon,7.7 saniye,232 km/s,250 nm,170 BG,Almanya,,Binek,First Edition Luxury Line,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,Premium D,3 Serisi,Benzin,https://www.epey.com/araba/2021-bmw-320i-1-6-170-bg-steptronic-luxury-line.html,,,,,,,,6.4 lt,59 lt,EU6d-temp,5.6 lt,7.7 lt,,5 yıldız,2021 BMW 320i 1.6 170 BG Steptronic Luxury Line NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Arkadan İtişli,,,,,8 ileri,Otomatik,Steptronic
1525 kg,,1827 mm,4709 mm,1435 mm,,480 lt,,2021 BMW 320i 1.6 170 BG Steptronic M Sport,,,,,,2021 BMW 320i 1.6 170 BG Steptronic M Sport Test Sürüşü Talep Sayfası,2021 BMW 320i 1.6 170 BG Steptronic M Sport Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
12 Yıl Paslanmazlık",BMW Acil Yardım 444 2299,Var,,,,,,Çift Turbo,BMW TwinPower Turbo (İkiz Turbo),4,1597 cc,Direkt Enjeksiyon,7.7 saniye,232 km/s,250 nm,170 BG,Almanya,,Binek,First Edition M Sport,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,Premium D,3 Serisi,Benzin,https://www.epey.com/araba/2021-bmw-320i-1-6-170-bg-steptronic-m-sport.html,,,,,,,,6.4 lt,59 lt,EU6d-temp,5.6 lt,7.7 lt,,5 yıldız,2021 BMW 320i 1.6 170 BG Steptronic M Sport NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Arkadan İtişli,,,,,8 ileri,Otomatik,Steptronic
1525 kg,,1827 mm,4709 mm,1435 mm,,480 lt,,2021 BMW 320i 1.6 170 BG Steptronic Sport Line,,,,,,2021 BMW 320i 1.6 170 BG Steptronic Sport Line Test Sürüşü Talep Sayfası,2021 BMW 320i 1.6 170 BG Steptronic Sport Line Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
12 Yıl Paslanmazlık",BMW Acil Yardım 444 2299,Var,,,,,,Çift Turbo,BMW TwinPower Turbo (İkiz Turbo),4,1597 cc,Direkt Enjeksiyon,7.7 saniye,232 km/s,250 nm,170 BG,Almanya,,Binek,First Edition Sport Line,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,Premium D,3 Serisi,Benzin,https://www.epey.com/araba/2021-bmw-320i-1-6-170-bg-steptronic-sport-line.html,,,,,,,,6.4 lt,59 lt,EU6d-temp,5.6 lt,7.7 lt,,5 yıldız,2021 BMW 320i 1.6 170 BG Steptronic Sport Line NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Arkadan İtişli,,,,,8 ileri,Otomatik,Steptronic
1735 kg,,1868 mm,4963 mm,1457 mm,,,,2021 BMW 520d xDrive 2.0 190 BG Otomatik S.Ed.Luxury Line (4x4),,,,,,2021 BMW 520d xDrive 2.0 190 BG Otomatik S.Ed.Luxury Line (4x4) Test Sürüşü Talep Sayfası,,,,,,,,,,Turbo,,4,1995 cc,,7.3 saniye,232 km/s,400 nm,190 BG,Almanya,,Binek,Special Edition Luxury Line,Sedan,2021,İçten Yanmalı (Standart),6113 tl/yıl,E,5 Serisi,Dizel,https://www.epey.com/araba/2021-bmw-520d-xdrive-2-0-190-bg-otomatik-s-ed-luxury-line-4x4.html,,,,,,,144 g/km,5.5 lt,66 lt,,,,,5 yıldız,2021 BMW 520d xDrive 2.0 190 BG Otomatik S.Ed.Luxury Line (4x4) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,4x4 Çekişli,Var,xDrive (BMW 4 Tekerlekten Çekiş Sistemi),,,8 ileri,Otomatik,
1580 kg,,1868 mm,4963 mm,1457 mm,,,,2021 BMW 520i 1.6 170 BG Otomatik Luxury Line,,,,,,2021 BMW 520i 1.6 170 BG Otomatik Luxury Line Test Sürüşü Talep Sayfası,,,,,,,,,,Turbo,,4,1597 cc,,8.3 saniye,226 km/s,250 nm,170 BG,Almanya,,Binek,Luxury Line,Sedan,2021,İçten Yanmalı (Standart),2197 tl/yıl,E,5 Serisi,Benzin,https://www.epey.com/araba/2021-bmw-520i-1-6-170-bg-otomatik-luxury-line.html,,,,,,,162 g/km,7.1 lt,68 lt,,,,,5 yıldız,2021 BMW 520i 1.6 170 BG Otomatik Luxury Line NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Arkadan İtişli,,,,,8 ileri,Otomatik,
1680 kg,,1868 mm,4963 mm,1457 mm,,,,2021 BMW 530i xDrive 2.0 252 BG Otomatik S.Ed.Luxury Line (4x4),,,,,,2021 BMW 530i xDrive 2.0 252 BG Otomatik S.Ed.Luxury Line (4x4) Test Sürüşü Talep Sayfası,,,,,,,,,,Turbo,,4,1998 cc,,6.3 saniye,250 km/s,350 nm,252 BG,Almanya,,Binek,Special Edition Luxury Line,Sedan,2021,MHEV (Yarı Hibrit Sistem),6113 tl/yıl,E,5 Serisi,Benzin & Elektrik,https://www.epey.com/araba/2021-bmw-530i-xdrive-2-0-252-bg-otomatik-s-ed-luxury-line-4x4.html,,,,,,,166 g/km,7.3 lt,68 lt,,,,,5 yıldız,2021 BMW 530i xDrive 2.0 252 BG Otomatik S.Ed.Luxury Line (4x4) NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,4x4 Çekişli,Var,xDrive (BMW 4 Tekerlekten Çekiş Sistemi),,,8 ileri,Otomatik,
1481 kg,10.80 mt.,2107 mm,4403 mm,1844 mm,1414 lt,775 lt,,2021 Citroen Berlingo 1.5 BlueHDi 100 HP Feel Stil,,,,,,,2021 Citroen Berlingo 1.5 BlueHDi 100 HP Feel Stil Ürün Kataloğu,"2 Yıl Boya
2 Yıl Sınırsız Km Mekanik
5 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,12.6 saniye,171 km/s,250 nm,100 BG,Fransa,Kombi,Binek,Feel Stil,MPV,2021,İçten Yanmalı (Standart),2521 tl/yıl,C,Berlingo,Dizel,https://www.epey.com/araba/2021-citroen-berlingo-1-5-bluehdi-100-hp-feel-stil.html,,,,,,,116 g/km,4.3 lt,50 lt,,4.1 lt,4.8 lt,,4 yıldız,2021 Citroen Berlingo 1.5 BlueHDi 100 HP Feel Stil NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1461 kg,10.80 mt.,2107 mm,4403 mm,1844 mm,1414 lt,775 lt,,2021 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Feel Stil,,,,,,,2021 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Feel Stil Ürün Kataloğu,"2 Yıl Boya
2 Yıl Sınırsız Km Mekanik
5 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,11.0 saniye,184 km/s,300 nm,130 BG,Fransa,Kombi,Binek,Feel Stil,MPV,2021,İçten Yanmalı (Standart),2521 tl/yıl,C,Berlingo,Dizel,https://www.epey.com/araba/2021-citroen-berlingo-1-5-bluehdi-130-hp-eat8-feel-stil.html,,,,,,,116 g/km,4.1 lt,50 lt,Euro 6.2,4.0 lt,4.4 lt,,4 yıldız,2021 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Feel Stil NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
1461 kg,10.80 mt.,2107 mm,4403 mm,1844 mm,1414 lt,775 lt,,2021 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Shine Bold,,,,,,,2021 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Shine Bold Ürün Kataloğu,"2 Yıl Boya
2 Yıl Sınırsız Km Mekanik
5 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,11.0 saniye,184 km/s,300 nm,130 BG,Fransa,Kombi,Binek,Shine Bold,MPV,2021,İçten Yanmalı (Standart),2521 tl/yıl,C,Berlingo,Dizel,https://www.epey.com/araba/2021-citroen-berlingo-1-5-bluehdi-130-hp-eat8-shine-bold.html,,,,,,,116 g/km,4.1 lt,50 lt,Euro 6.2,4.0 lt,4.4 lt,,4 yıldız,2021 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Shine Bold NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
