AĞIRLIK & ÖLÇÜLER - Ağırlık,AĞIRLIK & ÖLÇÜLER - Dönüş Çapı,AĞIRLIK & ÖLÇÜLER - Genişlik,AĞIRLIK & ÖLÇÜLER - Uzunluk,AĞIRLIK & ÖLÇÜLER - Yükseklik,BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (2 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (5 Koltuk),BAGAJ ÖZELLİKLERİ - Bagaj Hacmi (7 Koltuk),Başlık,DIŞ GÖVDE - Arka Kapı Tipi,DIŞ GÖVDE - Arka Tekerlek,DIŞ GÖVDE - Kapı Sayısı,DIŞ GÖVDE - Sürgülü Sağ Yan Kapı,DIŞ GÖVDE - Şasi Tipi,DOKÜMAN - Test Sürüşü Talep Sayfası,DOKÜMAN - Ürün Kataloğu,GARANTİ & YOL YARDIM - Garanti,GARANTİ & YOL YARDIM - Yol Yardım Bilgileri,GARANTİ & YOL YARDIM - Yol Yardım Hizmeti,MOTOR (Elektrikli) - Azami Tork,MOTOR (Elektrikli) - Batarya Kapasitesi,MOTOR (Elektrikli) - Batarya Tipi,MOTOR (Elektrikli) - Menzil (WLTP-Birleşik),MOTOR (İçten Yanmalı) - Besleme Tipi,MOTOR (İçten Yanmalı) - Diğer Motor Özellikleri,MOTOR (İçten Yanmalı) - Silindir Adedi,MOTOR (İçten Yanmalı) - Silindir Hacmi,MOTOR (İçten Yanmalı) - Yakıt Püskürtme,PERFORMANS - 0-100 Km Hızlanma,PERFORMANS - Azami Hız,PERFORMANS - Azami Tork (Toplam),PERFORMANS - Beygir Gücü (Toplam),SÜRÜŞ DESTEK SİSTEMLERİ - Yokuş Kalkış Desteği,SÜRÜŞ DESTEK SİSTEMLERİ - Yokuş Kalkış Özellikleri,TEMEL ÖZELLİKLER - Ait Olduğu Ülke,TEMEL ÖZELLİKLER - Alt Seri,TEMEL ÖZELLİKLER - Araç Türü,TEMEL ÖZELLİKLER - Donanım Paketi,TEMEL ÖZELLİKLER - Gövde Tipi,TEMEL ÖZELLİKLER - Model Yılı,TEMEL ÖZELLİKLER - Motor Tipi,TEMEL ÖZELLİKLER - Motorlu Taşıt Vergisi,TEMEL ÖZELLİKLER - Segment,TEMEL ÖZELLİKLER - Seri,TEMEL ÖZELLİKLER - Yakıt Tipi,URL,YAKIT TÜKETİMİ & EMİSYON - LPG,YAKIT TÜKETİMİ & EMİSYON - LPG CO2 Salınımı,YAKIT TÜKETİMİ & EMİSYON - LPG Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - LPG OrtalamaTüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - LPG Şehir İçi Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Ortalama Emisyon,YAKIT TÜKETİMİ & EMİSYON - Ortalama Y.Tüketimi (100 km),YAKIT TÜKETİMİ & EMİSYON - Yakıt Kapasitesi,YAKIT TÜKETİMİ & EMİSYON - Çevre Standardı (Emisyon),YAKIT TÜKETİMİ & EMİSYON - Şehir Dışı Tüketim (100 km),YAKIT TÜKETİMİ & EMİSYON - Şehir İçi Tüketim (100 km),YOLCU EMNİYETİ - Anahtarsız Sistem,YOLCU EMNİYETİ - Hava Yastığı,YOLCU EMNİYETİ - NCAP/ANCAP Puanı,YOLCU EMNİYETİ - NCAP/ANCAP Web Sayfası,YOLCU EMNİYETİ - NCAP/ANCAP Yılı,YOLCU EMNİYETİ - Çarpışma Testi (NCAP/ANCAP),YÜK ALANI - Azami Hacim,YÜK ALANI - Azami Yük (İstiap Haddi),YÜK ALANI - Azami Yüklü Ağırlık,YÜK ALANI - Azami İç Genişlik,YÜK ALANI - Azami İç Uzunluk,YÜK ALANI - Azami İç Yükseklik,YÜK ALANI - Davlumbaz Aralığı,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Sistemi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekiş Kontrol Özellikleri,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frenli),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Çekme Kapasitesi (Frensiz),ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Kademesi,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Türü,ŞANZIMAN & ÇEKİŞ SİSTEMİ - Şanzıman Özellikleri
2220 kg,13.20 mt.,1904 mm,5304 mm,1990 mm,,,,2019 Yeni Volkswagen Transporter Panel Van 2.0 TDI 150 PS (2+1 Uzun),Yukarı Açılır,Tek,4,Var,Uzun,,2019 Yeni Volkswagen Transporter Panel Van 2.0 TDI 150 PS (2+1 Uzun) Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
8 Yıl Paslanmazlık","Volkswagen Çağrı24 0212 335 0404
Volkswagen Çağrı24 0800 211 0870",Var,,,,,Değişken Geometrili Turbo,,4,1968 cc,Common Rail Direkt Enjeksiyon,11.1 saniye,182 km/s,340 nm,150 BG,,,Almanya,Panelvan,Ticari,Standart,Panelvan,2019,İçten Yanmalı (Standart),1867 tl/yıl,Hafif Ticari,Transporter,Dizel,https://www.epey.com/araba/2019-yeni-volkswagen-transporter-panel-van-2-0-tdi-150-ps-2plus1-uzun.html,Yok,,,,,,,7.8 lt,70 lt,,7.4 lt,8.4 lt,,,,,,,6.7 m³,1221 kg,3000 kg,1700 mm,2975 mm,1410 mm,1244 mm,Önden Çekişli,,,2500 kg,750 kg,6 ileri,Manuel,
,,,,,,,,2019 Yeni Volvo S60 T5 2.0 254 HP Geartronic,,,,,,,,"3. Yıl / 100 Bin Km Mekanik
8 Yıl Boya
12 Yıl Paslanmazlık","Garanti Süresi Boyunca Ücretsiz
Volvo OtoLine 444 4858",Var,,,,,Turbo,,4,1969 cc,Direkt Enjeksiyon,,,350 nm,254 BG,,,İsveç > Çin,T5,Binek,,Sedan,2019,İçten Yanmalı (Standart),5003 tl/yıl,Premium D,S60,Benzin,https://www.epey.com/araba/2019-yeni-volvo-s60-t5-2-0-254-hp-geartronic.html,,,,,,,,,,,,,,,5 yıldız,2019 Yeni Volvo S60 T5 2.0 254 HP Geartronic NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,Geartronic (Otomatik)
1385 kg,,1799 mm,4319 mm,1434 mm,1200 lt,380 lt,,2020 BMW 1 116d 1.5 116 BG Otomatik M Sport,,,,,,2020 BMW 1 116d 1.5 116 BG Otomatik M Sport Test Sürüşü Talep Sayfası,2020 BMW 1 116d 1.5 116 BG Otomatik M Sport Ürün Kataloğu,,,,,,,,Turbo,,3,1496 cc,,10.1 saniye,198 km/s,270 nm,116 BG,,,Almanya,,Binek,M Sport,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,Premium C,1 Serisi,Dizel,https://www.epey.com/araba/2020-bmw-116d-1-5-116-bg-otomatik-first-edition-m-sport.html,,,,,,,120 g/km,4.6 lt,42 lt,,4.3 lt,5.0 lt,,,5 yıldız,2020 BMW 1 116d 1.5 116 BG Otomatik M Sport NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,
1385 kg,,1799 mm,4319 mm,1434 mm,1200 lt,380 lt,,2020 BMW 1 116d 1.5 116 BG Otomatik Sport Line,,,,,,2020 BMW 1 116d 1.5 116 BG Otomatik Sport Line Test Sürüşü Talep Sayfası,2020 BMW 1 116d 1.5 116 BG Otomatik Sport Line Ürün Kataloğu,,,,,,,,Turbo,,3,1496 cc,,10.1 saniye,198 km/s,270 nm,116 BG,,,Almanya,,Binek,Sport Line,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,Premium C,1 Serisi,Dizel,https://www.epey.com/araba/2020-bmw-116d-1-5-116-bg-otomatik-first-edition-sport-line.html,,,,,,,120 g/km,4.6 lt,42 lt,,4.3 lt,5.0 lt,,,5 yıldız,2020 BMW 1 116d 1.5 116 BG Otomatik Sport Line NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,
1320 kg,,1799 mm,4319 mm,1434 mm,1200 lt,380 lt,,2020 BMW 1 118i 1.5 140 BG Otomatik M Sport,,,,,,2020 BMW 1 118i 1.5 140 BG Otomatik M Sport Test Sürüşü Talep Sayfası,2020 BMW 1 118i 1.5 140 BG Otomatik M Sport Ürün Kataloğu,,,,,,,,Turbo,,3,1499 cc,,8.5 saniye,211 km/s,220 nm,140 BG,,,Almanya,,Binek,M Sport,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,Premium C,1 Serisi,Benzin,https://www.epey.com/araba/2020-bmw-118i-1-5-140-bg-otomatik-first-edition-m-sport.html,,,,,,,135 g/km,5.9 lt,42 lt,,5.3 lt,7.0 lt,,,5 yıldız,2020 BMW 1 118i 1.5 140 BG Otomatik M Sport NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,
1320 kg,,1799 mm,4319 mm,1434 mm,1200 lt,380 lt,,2020 BMW 1 118i 1.5 140 BG Otomatik Sport Line,,,,,,2020 BMW 1 118i 1.5 140 BG Otomatik Sport Line Test Sürüşü Talep Sayfası,2020 BMW 1 118i 1.5 140 BG Otomatik Sport Line Ürün Kataloğu,,,,,,,,Turbo,,3,1499 cc,,8.5 saniye,211 km/s,220 nm,140 BG,,,Almanya,,Binek,Sport Line,Hatchback,2020,İçten Yanmalı (Standart),2014 tl/yıl,Premium C,1 Serisi,Benzin,https://www.epey.com/araba/2020-bmw-118i-1-5-140-bg-otomatik-first-edition-sport-line.html,,,,,,,135 g/km,5.9 lt,42 lt,,5.3 lt,7.0 lt,,,5 yıldız,2020 BMW 1 118i 1.5 140 BG Otomatik Sport Line NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Önden Çekişli,,,,,7 ileri,Otomatik,
1525 kg,,1827 mm,4709 mm,1435 mm,,480 lt,,2020 BMW 320i 1.6 170 BG Steptronic Luxury Line,,,,,,2020 BMW 320i 1.6 170 BG Steptronic Luxury Line Test Sürüşü Talep Sayfası,2020 BMW 320i 1.6 170 BG Steptronic Luxury Line Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
12 Yıl Paslanmazlık",BMW Acil Yardım 444 2299,Var,,,,,Çift Turbo,BMW TwinPower Turbo (İkiz Turbo),4,1597 cc,Direkt Enjeksiyon,7.7 saniye,232 km/s,250 nm,170 BG,,,Almanya,,Binek,First Edition Luxury Line,Sedan,2020,İçten Yanmalı (Standart),2014 tl/yıl,Premium D,3 Serisi,Benzin,https://www.epey.com/araba/2020-bmw-320i-1-6-170-bg-steptronic-first-edition-luxury-line.html,,,,,,,,6.4 lt,59 lt,EU6d-temp,5.6 lt,7.7 lt,,,5 yıldız,2020 BMW 320i 1.6 170 BG Steptronic Luxury Line NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Arkadan İtişli,,,,,8 ileri,Otomatik,Steptronic
1525 kg,,1827 mm,4709 mm,1435 mm,,480 lt,,2020 BMW 320i 1.6 170 BG Steptronic M Sport,,,,,,2020 BMW 320i 1.6 170 BG Steptronic M Sport Test Sürüşü Talep Sayfası,2020 BMW 320i 1.6 170 BG Steptronic M Sport Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
12 Yıl Paslanmazlık",BMW Acil Yardım 444 2299,Var,,,,,Çift Turbo,BMW TwinPower Turbo (İkiz Turbo),4,1597 cc,Direkt Enjeksiyon,7.7 saniye,232 km/s,250 nm,170 BG,,,Almanya,,Binek,First Edition M Sport,Sedan,2020,İçten Yanmalı (Standart),2014 tl/yıl,Premium D,3 Serisi,Benzin,https://www.epey.com/araba/2020-bmw-320i-1-6-170-bg-steptronic-first-edition-m-sport.html,,,,,,,,6.4 lt,59 lt,EU6d-temp,5.6 lt,7.7 lt,,,5 yıldız,2020 BMW 320i 1.6 170 BG Steptronic M Sport NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Arkadan İtişli,,,,,8 ileri,Otomatik,Steptronic
1525 kg,,1827 mm,4709 mm,1435 mm,,480 lt,,2020 BMW 320i 1.6 170 BG Steptronic Sport Line,,,,,,2020 BMW 320i 1.6 170 BG Steptronic Sport Line Test Sürüşü Talep Sayfası,2020 BMW 320i 1.6 170 BG Steptronic Sport Line Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
12 Yıl Paslanmazlık",BMW Acil Yardım 444 2299,Var,,,,,Çift Turbo,BMW TwinPower Turbo (İkiz Turbo),4,1597 cc,Direkt Enjeksiyon,7.7 saniye,232 km/s,250 nm,170 BG,,,Almanya,,Binek,First Edition Sport Line,Sedan,2020,İçten Yanmalı (Standart),2014 tl/yıl,Premium D,3 Serisi,Benzin,https://www.epey.com/araba/2020-bmw-320i-1-6-170-bg-steptronic-first-edition-sport-line.html,,,,,,,,6.4 lt,59 lt,EU6d-temp,5.6 lt,7.7 lt,,,5 yıldız,2020 BMW 320i 1.6 170 BG Steptronic Sport Line NCAP/ANCAP Web Sayfası,2019,Var,,,,,,,,Arkadan İtişli,,,,,8 ileri,Otomatik,Steptronic
1530 kg,,1868 mm,4936 mm,1479 mm,,530 lt,,2020 BMW 520i 1.6 170 BG Steptronic Luxury Line,,,,,,2020 BMW 520i 1.6 170 BG Steptronic Luxury Line Test Sürüşü Talep Sayfası,2020 BMW 520i 1.6 170 BG Steptronic Luxury Line Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
12 Yıl Paslanmazlık",BMW Acil Yardım 444 2299,Var,,,,,Çift Turbo,BMW TwinPower Turbo (İkiz Turbo),4,1998 cc,Direkt Enjeksiyon,7.8 saniye,235 km/s,290 nm,170 BG,,,Almanya,520i,Binek,Luxury Line,Sedan,2020,İçten Yanmalı (Standart),2014 tl/yıl,E,5 Serisi,Benzin,https://www.epey.com/araba/2020-bmw-520i-1-6-170-bg-steptronic-luxury-line.html,,,,,,,134 g/km,5.9 lt,68 lt,Euro 6,5.1 lt,7.2 lt,,,5 yıldız,2020 BMW 520i 1.6 170 BG Steptronic Luxury Line NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Arkadan İtişli,,,,,8 ileri,Otomatik,Steptronic
1530 kg,,1868 mm,4936 mm,1479 mm,,530 lt,,2020 BMW 520i 1.6 170 BG Steptronic M Sport,,,,,,2020 BMW 520i 1.6 170 BG Steptronic M Sport Test Sürüşü Talep Sayfası,2020 BMW 520i 1.6 170 BG Steptronic M Sport Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
12 Yıl Paslanmazlık",BMW Acil Yardım 444 2299,Var,,,,,Çift Turbo,BMW TwinPower Turbo (İkiz Turbo),4,1998 cc,Direkt Enjeksiyon,7.8 saniye,235 km/s,290 nm,170 BG,,,Almanya,520i,Binek,M Sport,Sedan,2020,İçten Yanmalı (Standart),2014 tl/yıl,E,5 Serisi,Benzin,https://www.epey.com/araba/2020-bmw-520i-1-6-170-bg-steptronic-m-sport.html,,,,,,,134 g/km,5.9 lt,68 lt,Euro 6,5.1 lt,7.2 lt,,,5 yıldız,2020 BMW 520i 1.6 170 BG Steptronic M Sport NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Arkadan İtişli,,,,,8 ileri,Otomatik,Steptronic
1481 kg,10.80 mt.,2107 mm,4403 mm,1844 mm,1414 lt,775 lt,,2020 Citroen Berlingo 1.5 BlueHDi 100 HP Feel Stil,,,,,,,2020 Citroen Berlingo 1.5 BlueHDi 100 HP Feel Stil Ürün Kataloğu,"2 Yıl Boya
2 Yıl Sınırsız Km Mekanik
5 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,12.6 saniye,171 km/s,250 nm,100 BG,,,Fransa,Kombi,Binek,Feel Stil,MPV,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Berlingo,Dizel,https://www.epey.com/araba/2020-citroen-berlingo-1-5-bluehdi-100-hp-feel-stil.html,,,,,,,116 g/km,4.3 lt,50 lt,,4.1 lt,4.8 lt,,,4 yıldız,2020 Citroen Berlingo 1.5 BlueHDi 100 HP Feel Stil NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1481 kg,10.80 mt.,2107 mm,4403 mm,1844 mm,1414 lt,775 lt,,2020 Citroen Berlingo 1.5 BlueHDi 100 HP Feel,,,,,,,2020 Citroen Berlingo 1.5 BlueHDi 100 HP Feel Ürün Kataloğu,"2 Yıl Boya
2 Yıl Sınırsız Km Mekanik
5 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,12.6 saniye,171 km/s,250 nm,100 BG,,,Fransa,Kombi,Binek,Feel,MPV,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Berlingo,Dizel,https://www.epey.com/araba/2020-citroen-berlingo-1-5-bluehdi-100-hp-feel.html,,,,,,,116 g/km,4.3 lt,50 lt,,4.1 lt,4.8 lt,,,4 yıldız,2020 Citroen Berlingo 1.5 BlueHDi 100 HP Feel NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1461 kg,10.80 mt.,2107 mm,4403 mm,1844 mm,1414 lt,775 lt,,2020 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Feel Stil,,,,,,,2020 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Feel Stil Ürün Kataloğu,"2 Yıl Boya
2 Yıl Sınırsız Km Mekanik
5 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,11.0 saniye,184 km/s,300 nm,130 BG,,,Fransa,Kombi,Binek,Feel Stil,MPV,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Berlingo,Dizel,https://www.epey.com/araba/2020-citroen-berlingo-1-5-bluehdi-130-hp-eat8-feel-stil.html,,,,,,,116 g/km,4.1 lt,50 lt,Euro 6.2,4.0 lt,4.4 lt,,,4 yıldız,2020 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Feel Stil NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
1461 kg,10.80 mt.,2107 mm,4403 mm,1844 mm,1414 lt,775 lt,,2020 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Shine Bold,,,,,,,2020 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Shine Bold Ürün Kataloğu,"2 Yıl Boya
2 Yıl Sınırsız Km Mekanik
5 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,11.0 saniye,184 km/s,300 nm,130 BG,,,Fransa,Kombi,Binek,Shine Bold,MPV,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Berlingo,Dizel,https://www.epey.com/araba/2020-citroen-berlingo-1-5-bluehdi-130-hp-eat8-shine-bold.html,,,,,,,116 g/km,4.1 lt,50 lt,Euro 6.2,4.0 lt,4.4 lt,,,4 yıldız,2020 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Shine Bold NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
1461 kg,10.80 mt.,2107 mm,4403 mm,1844 mm,1414 lt,775 lt,,2020 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Shine,,,,,,,2020 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Shine Ürün Kataloğu,"2 Yıl Boya
2 Yıl Sınırsız Km Mekanik
5 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,11.0 saniye,184 km/s,300 nm,130 BG,,,Fransa,Kombi,Binek,Shine,MPV,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Berlingo,Dizel,https://www.epey.com/araba/2020-citroen-berlingo-1-5-bluehdi-130-hp-ss-eat8-shine.html,,,,,,,116 g/km,4.1 lt,50 lt,Euro 6.2,4.0 lt,4.4 lt,,,4 yıldız,2020 Citroen Berlingo 1.5 BlueHDi 130 HP EAT8 Shine NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,8 ileri,Otomatik,EAT8 (Otomatik)
1467 kg,10.80 mt.,2107 mm,4403 mm,1844 mm,1414 lt,775 lt,,2020 Citroen Berlingo 1.5 BlueHDi 130 HP Shine,,,,,,,2020 Citroen Berlingo 1.5 BlueHDi 130 HP Shine Ürün Kataloğu,"2 Yıl Boya
2 Yıl Sınırsız Km Mekanik
5 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,Turbo,,4,1499 cc,Common Rail Direkt Enjeksiyon,10.3 saniye,185 km/s,300 nm,130 BG,,,Fransa,Kombi,Binek,Shine,MPV,2020,İçten Yanmalı (Standart),2014 tl/yıl,C,Berlingo,Dizel,https://www.epey.com/araba/2020-citroen-berlingo-1-5-bluehdi-130-hp-ss-shine.html,,,,,,,120 g/km,4.5 lt,50 lt,Euro 6.1,4.2 lt,5.1 lt,,,4 yıldız,2020 Citroen Berlingo 1.5 BlueHDi 130 HP Shine NCAP/ANCAP Web Sayfası,2018,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Manuel,
980 kg,10.70 mt.,1748 mm,4416 mm,1477 mm,,506 lt,,2020 Citroen C-Elysee 1.5 BlueHDi 100 HP Feel,,,,,,2020 Citroen C-Elysee 1.5 BlueHDi 100 HP Feel Test Sürüşü Talep Sayfası,2020 Citroen C-Elysee 1.5 BlueHDi 100 HP Feel Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,Turbo,,4,1560 cc,Common Rail Direkt Enjeksiyon,10.8 saniye,183 km/s,254 nm,100 BG,,,Fransa,,Binek,Feel,Sedan,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,C-Elysee,Dizel,https://www.epey.com/araba/2020-citroen-c-elysee-1-5-bluehdi-100-hp-feel.html,,,,,,,98 g/km,3.8 lt,50 lt,,3.3 lt,4.6 lt,,,3 yıldız,2020 Citroen C-Elysee 1.5 BlueHDi 100 HP Feel NCAP/ANCAP Web Sayfası,2014,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
980 kg,10.70 mt.,1748 mm,4416 mm,1477 mm,,506 lt,,2020 Citroen C-Elysee 1.5 BlueHDi 100 HP Shine,,,,,,2020 Citroen C-Elysee 1.5 BlueHDi 100 HP Shine Test Sürüşü Talep Sayfası,2020 Citroen C-Elysee 1.5 BlueHDi 100 HP Shine Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,Turbo,,4,1560 cc,Common Rail Direkt Enjeksiyon,10.8 saniye,183 km/s,254 nm,100 BG,,,Fransa,,Binek,Shine,Sedan,2020,İçten Yanmalı (Standart),2014 tl/yıl,B,C-Elysee,Dizel,https://www.epey.com/araba/2020-citroen-c-elysee-1-5-bluehdi-100-hp-shine.html,,,,,,,98 g/km,3.8 lt,50 lt,,3.3 lt,4.6 lt,,,3 yıldız,2020 Citroen C-Elysee 1.5 BlueHDi 100 HP Shine NCAP/ANCAP Web Sayfası,2014,Var,,,,,,,,Önden Çekişli,,,,,5 ileri,Manuel,
1165 kg,10.90 mt.,1749 mm,3996 mm,1474 mm,922 lt,300 lt,,2020 Citroen C3 1.2 PureTech 110 HP EAT6 Feel,,,,,,2020 Citroen C3 1.2 PureTech 110 HP EAT6 Feel Test Sürüşü Talep Sayfası,2020 Citroen C3 1.2 PureTech 110 HP EAT6 Feel Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,Turbo,PureTech (Yakıt Tasarrufu),3,1199 cc,Direkt Enjeksiyon,10.6 saniye,183 km/s,205 nm,110 BG,Var,Hill Holder (Yokuş Kalkış Desteği),Fransa,,Binek,Feel,Hatchback,2020,İçten Yanmalı (Standart),1156 tl/yıl,B,C3,Benzin,https://www.epey.com/araba/2020-citroen-c3-1-2-puretech-110-hp-eat6-feel.html,,,,,,,110 g/km,4.9 lt,45 lt,,4.2 lt,6.1 lt,,,4 yıldız,2020 Citroen C3 1.2 PureTech 110 HP EAT6 Feel NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,EAT6 (Otomatik)
1165 kg,10.90 mt.,1749 mm,3996 mm,1474 mm,922 lt,300 lt,,2020 Citroen C3 1.2 PureTech 110 HP EAT6 Shine,,,,,,2020 Citroen C3 1.2 PureTech 110 HP EAT6 Shine Test Sürüşü Talep Sayfası,2020 Citroen C3 1.2 PureTech 110 HP EAT6 Shine Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,Turbo,PureTech (Yakıt Tasarrufu),3,1199 cc,Direkt Enjeksiyon,10.6 saniye,183 km/s,205 nm,110 BG,Var,Hill Holder (Yokuş Kalkış Desteği),Fransa,,Binek,Shine,Hatchback,2020,İçten Yanmalı (Standart),1156 tl/yıl,B,C3,Benzin,https://www.epey.com/araba/2020-citroen-c3-1-2-puretech-110-hp-eat6-shine.html,,,,,,,110 g/km,4.9 lt,45 lt,,4.2 lt,6.1 lt,,,4 yıldız,2020 Citroen C3 1.2 PureTech 110 HP EAT6 Shine NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,EAT6 (Otomatik)
,,1749 mm,3996 mm,1490 mm,,300 lt,,2020 Citroen C3 1.2 PureTech 110 HP S&S EAT6 Feel Bold,,,,,,,2020 Citroen C3 1.2 PureTech 110 HP S&S EAT6 Feel Bold Ürün Kataloğu,"2 Yıl Sınırsız Km Mekanik
3 Yıl Boya
12 Yıl Paslanmazlık",Citroen Destek 0212 359 6363,Var,,,,,Turbo,,3,1199 cc,Direkt Enjeksiyon,10.0 saniye,193 km/s,205 nm,110 BG,,,Fransa,,Binek,Feel Bold,Hatchback,2020,İçten Yanmalı (Standart),1156 tl/yıl,B,C3,Benzin,https://www.epey.com/araba/2020-citroen-c3-1-2-puretech-110-hp-ss-eat6-feel-bold.html,,,,,,,109 g/km,4.8 lt,47 lt,,4.3 lt,5.7 lt,,,4 yıldız,2020 Citroen C3 1.2 PureTech 110 HP S&S EAT6 Feel Bold NCAP/ANCAP Web Sayfası,2017,Var,,,,,,,,Önden Çekişli,,,,,6 ileri,Otomatik,EAT6 (Otomatik)
